split,n,train_pearson,val_pearson,train_spearman,val_spearman,k
full_leaf_count,402,-0.4088798004490337,-0.4816639024223478,0.0023526109469023,0.0727647548618526,35
cifar_average_branching_factor,402,-0.0810664056603479,-0.0907531410946276,0.0851715796682298,0.1212383257727939,35
cifar_colless_index,402,-0.7995327343366023,-0.8692646136088964,-0.4403504767317337,-0.4394924798142242,35
cifar_average_colless_index,402,-0.3708667131987165,-0.3548432039282241,-0.4938710627396925,-0.5378072802246366,35
cifar_sackin_index,402,-0.7566961417648553,-0.8367242656406308,-0.6540229334654876,-0.6047756365247824,35
cifar_average_sackin_index,402,-0.6672894786503544,-0.6014307604896217,-0.8720107516493443,-0.887939318508052,35
cifar_leaf_count,402,-0.4088798004490337,-0.4816639024223478,0.0023526109469023,0.0727647548618526,35
densenet_average_branching_factor,201,-0.0079412494895473,-0.0281510862809305,0.3101426307348323,0.3441167319200396,35
densenet_colless_index,201,-0.8646743336745507,-0.9102305421846932,-0.3739265393716312,-0.3894294676181362,35
densenet_average_colless_index,201,-0.6294443031170752,-0.5803763855076964,-0.7264919278859012,-0.7806618220719843,35
densenet_sackin_index,201,-0.7787205080070588,-0.8519265684762246,-0.5909177056422867,-0.5606837670334804,35
densenet_average_sackin_index,201,-0.6503258366316718,-0.6120277813986928,-0.8799235106940505,-0.9307358956079514,35
densenet_leaf_count,201,-0.2650669888194892,-0.321596796574732,0.3987370797188205,0.4789650959179032,35
resnet_average_branching_factor,201,-0.1900485149865187,-0.1865541570288724,-0.2098038533603519,-0.1954554665319691,35
resnet_colless_index,201,-0.7364217986015603,-0.8288812831968017,-0.4871539578161148,-0.4573868800424415,35
resnet_average_colless_index,201,-0.1322671148584339,-0.1450211803907987,-0.1873268934740147,-0.1659541328283408,35
resnet_sackin_index,201,-0.7577945277862391,-0.843997324609771,-0.8904054881406614,-0.8633996509957393,35
resnet_average_sackin_index,201,-0.6927957151775287,-0.5897149008063206,-0.8722282174501463,-0.84266720659222,35
