,Class,Count,Count Majority
988,acorn,1,1
989,hip,2,1
990,buckeye,1,1
991,coral fungus,1,1
992,agaric,27,27
993,gyromitra,1,1
994,stinkhorn,1,1
995,earthstar,1,1
996,hen-of-the-woods,3,3
997,bolete,17,16
998,ear,24,21
999,toilet tissue,16,15
