,True Label,True Class,count,Proportion,Coverage
333,483,castle,121,0.0005202891259572675,0.0896
340,493,chiffonier,121,0.0005202891259572675,0.0896
233,351,hartebeest,121,0.0005202891259572675,0.0896
529,740,power drill,120,0.0005159892158253893,0.1253
691,942,butternut squash,119,0.000511689305693511,0.0881
618,852,tennis ball,119,0.000511689305693511,0.0881
554,771,safe,119,0.000511689305693511,0.1103
550,767,rubber eraser,117,0.0005030894854297545,0.0867
188,293,cheetah,115,0.000494489665165998,0.0852
527,738,pot,114,0.0004901897550341198,0.0844
684,935,mashed potato,114,0.0004901897550341198,0.0844
152,224,groenendael,112,0.0004815899347703633,0.083
275,414,backpack,109,0.0004686902043747286,0.0807
463,652,military uniform,109,0.0004686902043747286,0.0807
189,294,brown bear,107,0.00046009038411097205,0.0793
354,512,corkscrew,105,0.0004514905638472156,0.0778
286,427,barrel,104,0.0004471906537153374,0.077
671,919,street sign,104,0.0004471906537153374,0.077
609,840,swab,103,0.0004428907435834591,0.0763
508,716,picket fence,101,0.00043429092331970264,0.0748
461,650,microphone,101,0.00043429092331970264,0.0748
247,372,baboon,100,0.0004299910131878244,0.0741
581,801,snorkel,99,0.0004256911030559461,0.0733
355,513,cornet,98,0.0004213911929240679,0.0726
72,102,echidna,97,0.00041709128279218964,0.0719
538,752,racket,96,0.0004127913726603114,0.0711
661,906,Windsor tie,95,0.00040849146252843317,0.0752
274,411,apron,91,0.0003912918220009202,0.0674
540,755,radio telescope,90,0.0003869919118690419,0.0667
588,808,sombrero,90,0.0003869919118690419,0.0667
462,651,microwave,89,0.0003826920017371637,0.0659
306,452,bonnet,87,0.0003740921814734072,0.0644
494,700,paper towel,86,0.00036979227134152897,0.0637
663,910,wooden spoon,84,0.0003611924510777725,0.0622
524,734,police van,84,0.0003611924510777725,0.0622
226,341,hog,84,0.0003611924510777725,0.0622
692,943,cucumber,83,0.00035689254094589424,0.0615
365,529,diaper,83,0.00035689254094589424,0.0615
54,81,ptarmigan,82,0.000352592630814016,0.0607
66,95,jacamar,81,0.00034829272068213777,0.06
57,85,quail,81,0.00034829272068213777,0.06
466,659,mixing bowl,81,0.00034829272068213777,0.06
279,418,ballpoint,81,0.00034829272068213777,0.063
635,872,tripod,80,0.0003439928105502595,0.0661
41,57,garter snake,80,0.0003439928105502595,0.0593
277,416,balance beam,78,0.00033539299028650303,0.0578
544,760,refrigerator,77,0.00033109308015462477,0.057
706,961,dough,76,0.0003267931700227465,0.0563
268,402,acoustic guitar,75,0.0003224932598908683,0.0556
10,13,junco,75,0.0003224932598908683,0.0556
380,547,electric locomotive,74,0.00031819334975899003,0.0548
602,828,strainer,73,0.00031389343962711177,0.0541
689,940,spaghetti squash,71,0.0003052936193633553,0.0551
174,264,Cardigan,69,0.00029669379909959883,0.0511
167,253,basenji,69,0.00029669379909959883,0.0511
568,787,shield,69,0.00029669379909959883,0.0511
