,True Label,True Class,count,Proportion,Coverage
401,401,accordion,479,0.0018564020680086502,0.3548
720,722,ping-pong ball,479,0.0018564020680086502,0.3596
34,34,leatherback turtle,477,0.001848650911148489,0.3533
375,375,colobus,477,0.001848650911148489,0.3533
893,897,washer,474,0.0018370241758582468,0.3511
327,327,starfish,474,0.0018370241758582468,0.3511
604,606,iron,474,0.0018370241758582468,0.3511
573,574,golf ball,474,0.0018370241758582468,0.3511
475,475,car mirror,471,0.0018253974405680047,0.3489
682,684,ocarina,471,0.0018253974405680047,0.3489
125,125,hermit crab,468,0.0018137707052777628,0.3467
13,13,junco,467,0.001809895126847682,0.3459
612,614,kimono,467,0.001809895126847682,0.3459
43,43,frilled lizard,467,0.001809895126847682,0.4002
929,934,hotdog,467,0.001809895126847682,0.3459
430,430,basketball,466,0.0018060195484176013,0.3452
134,134,crane,465,0.0018021439699875206,0.3444
620,622,lens cap,463,0.0017943928131273592,0.343
914,919,street sign,461,0.001786641656267198,0.3415
271,271,red wolf,461,0.001786641656267198,0.3415
552,552,feather boa,458,0.0017750149209769558,0.3393
940,945,bell pepper,457,0.0017711393425468751,0.3385
626,628,liner,456,0.0017672637641167944,0.3378
554,554,fireboat,456,0.0017672637641167944,0.3378
857,859,toaster,452,0.0017517614503964718,0.3348
39,39,common iguana,450,0.0017440102935363103,0.3333
498,498,cinema,448,0.001736259136676149,0.3319
355,355,llama,447,0.0017323835582460682,0.3311
298,298,mongoose,446,0.0017285079798159875,0.3304
305,305,dung beetle,445,0.0017246324013859067,0.3296
