,Class,Count,Count Majority,Count Homogeneous
375,colobus,1,1,1
376,proboscis monkey,1,1,1
377,marmoset,13,13,13
378,capuchin,13,13,13
379,howler monkey,8,8,8
380,titi,3,3,3
381,spider monkey,7,7,7
382,squirrel monkey,31,31,31
383,Madagascar cat,26,25,25
384,indri,3,3,3
385,Indian elephant,19,19,19
386,African elephant,26,26,26
387,lesser panda,1,1,1
388,giant panda,1,1,1
389,barracouta,4,4,4
390,eel,8,8,8
391,coho,3,3,3
392,rock beauty,1,1,1
393,anemone fish,10,10,10
394,sturgeon,1,1,1
395,gar,3,2,2
396,lionfish,1,1,1
397,puffer,1,1,1
398,abacus,1,1,1
399,abaya,5,5,5
400,academic gown,16,16,16
401,accordion,1,1,1
402,acoustic guitar,5,5,5
403,aircraft carrier,1,1,1
404,airliner,15,15,15
405,airship,1,1,1
406,altar,10,10,10
407,ambulance,1,1,1
408,amphibian,3,3,3
409,analog clock,20,20,20
410,apiary,6,5,5
411,apron,5,5,5
412,ashcan,16,16,16
413,assault rifle,15,15,15
414,backpack,3,3,3
415,bakery,6,6,6
416,balance beam,7,7,7
417,balloon,2,1,1
418,ballpoint,10,10,10
419,Band Aid,1,1,1
420,banjo,1,1,1
421,bannister,8,8,8
422,barbell,4,4,4
423,barber chair,20,20,20
424,barbershop,18,18,18
425,barn,1,1,1
426,barometer,2,2,2
427,barrel,10,9,9
428,barrow,1,1,1
429,baseball,5,5,5
430,basketball,3,2,2
431,bassinet,17,17,17
432,bassoon,1,1,1
433,bathing cap,1,1,1
434,bath towel,4,4,4
435,bathtub,30,30,30
436,beach wagon,5,5,5
437,beacon,4,4,4
438,beaker,5,5,5
439,bearskin,3,3,3
440,beer bottle,8,8,8
441,beer glass,4,4,4
442,bell cote,11,11,11
443,bib,2,2,2
444,bicycle-built-for-two,2,2,2
445,bikini,9,9,9
446,binder,7,7,7
447,binoculars,2,2,2
448,birdhouse,2,2,2
449,boathouse,5,5,5
450,bobsled,1,1,1
451,bolo tie,3,2,2
452,bonnet,4,4,4
453,bookcase,10,10,10
454,bookshop,6,6,6
455,bottlecap,2,2,2
456,bow,3,2,2
457,bow tie,1,1,1
458,brass,1,1,1
459,brassiere,3,3,3
460,breakwater,6,6,6
461,breastplate,21,21,21
462,broom,4,4,4
463,bucket,7,7,7
