dataset,split,model,k,epoch,layer,thresh,thresh_mode,total_persistence,train_acc,val_acc
cifar,trainUval,resnet,20,65,a1,0.0,0.0,18.350975765187172,0.98704,0.8446
cifar,trainUval,resnet,20,90,a1,0.0,0.0,11.426832006855555,0.93574,0.8279
cifar,val,resnet,20,115,a1,0.0,0.0,12.647430082220325,0.9851,0.8507
cifar,val,resnet,20,140,a1,0.0,0.0,14.568183102035839,0.99954,0.8637
cifar,val,resnet,20,166,a1,0.0,0.0,11.750768701147564,0.93758,0.8237
cifar,val,resnet,20,191,a1,0.0,0.0,11.052016861065908,0.96054,0.8342
cifar,val,resnet,20,35,a1,0.0,0.0,10.500479784420818,0.855,0.7924
cifar,val,resnet,20,60,a1,0.0,0.0,17.04768488428423,0.97698,0.8435
cifar,val,resnet,20,86,a1,0.0,0.0,13.516144745879949,0.93706,0.8286
mnist,train,resnet,20,110,a1,0.0,0.0,4.206582071644199,0.99995,0.9798
mnist,train,resnet,20,136,a1,0.0,0.0,3.5703551293838203,0.99995,0.9799
mnist,train,resnet,20,161,a1,0.0,0.0,3.0564134900572597,0.9999666666666667,0.9794
mnist,train,resnet,20,187,a1,0.0,0.0,0.9819942508203781,1.0,0.9805
mnist,train,resnet,20,30,a1,0.0,0.0,10.631183083903494,0.9872,0.9723
mnist,train,resnet,20,56,a1,0.0,0.0,8.27094290051501,0.9979166666666667,0.9776
mnist,train,resnet,20,81,a1,0.0,0.0,6.268099556574526,0.9992166666666666,0.9781
mnist,trainUval,resnet,20,106,a1,0.0,0.0,9.637948918905124,0.9999,0.979
mnist,trainUval,resnet,20,131,a1,0.0,0.0,11.08265968707429,0.99995,0.9795
mnist,trainUval,resnet,20,157,a1,0.0,0.0,10.92743744252246,0.9999666666666667,0.9796
mnist,trainUval,resnet,20,182,a1,0.0,0.0,10.958907721740587,1.0,0.9807
mnist,trainUval,resnet,20,26,a1,0.0,0.0,10.916876944225784,0.9872333333333333,0.972
mnist,trainUval,resnet,20,51,a1,0.0,0.0,9.358731343964529,0.9974,0.9764
mnist,trainUval,resnet,20,77,a1,0.0,0.0,8.291602686482541,0.9990333333333333,0.9775
