dataset,split,model,k,epoch,layer,thresh,thresh_mode,total_persistence,train_acc,val_acc
mnist,train,wres,20,73,a1,1e-06,1e-06,0.06649563348037191,1.0,0.9846
mnist,train,wres,20,99,a1,1e-06,1e-06,0.04047644865931943,1.0,0.9862
mnist,trainUval,wres,20,123,a1,1e-06,1e-06,13.646090232745337,1.0,0.9867
mnist,trainUval,wres,20,149,a1,1e-06,1e-06,14.086338241722842,1.0,0.9865
mnist,trainUval,wres,20,174,a1,1e-06,1e-06,12.80653160966176,1.0,0.9864
mnist,trainUval,wres,20,19,a1,1e-06,1e-06,9.724865709284558,0.9992333333333333,0.9815
mnist,trainUval,wres,20,43,a1,1e-06,1e-06,15.662714085304572,0.99995,0.9832
mnist,trainUval,wres,20,69,a1,1e-06,1e-06,15.328364673739998,1.0,0.9848
mnist,trainUval,wres,20,94,a1,1e-06,1e-06,15.561027538580674,1.0,0.9856
mnist,val,wres,20,119,a1,1e-06,1e-06,13.90327373740729,1.0,0.9871
mnist,val,wres,20,144,a1,1e-06,1e-06,14.295560152560938,1.0,0.987
mnist,val,wres,20,16,a1,1e-06,1e-06,10.420322035141687,0.9972666666666666,0.9797
mnist,val,wres,20,195,a1,1e-06,1e-06,12.796891075786675,1.0,0.9851
mnist,val,wres,20,39,a1,1e-06,1e-06,11.55397784995148,0.9999,0.9818
mnist,val,wres,20,64,a1,1e-06,1e-06,15.342437139741378,1.0,0.9849
mnist,val,wres,20,8,a1,1e-06,1e-06,10.036175333347437,0.9977833333333334,0.9792
cifar,train,densenet,20,100,a1,1e-06,1e-06,7.763641632634069,0.97136,0.8382
cifar,train,densenet,20,126,a1,1e-06,1e-06,4.631091543166804,0.9986,0.8715
cifar,train,densenet,20,151,a1,1e-06,1e-06,8.4986697813749,0.9184,0.8183
cifar,train,densenet,20,177,a1,1e-06,1e-06,7.552263431338389,0.96162,0.8441
cifar,train,densenet,20,20,a1,1e-06,1e-06,12.871205306463658,0.86552,0.792
cifar,train,densenet,20,46,a1,1e-06,1e-06,8.856612410054474,0.93342,0.8226
cifar,train,densenet,20,71,a1,1e-06,1e-06,9.13362225397104,0.91458,0.8064
cifar,train,densenet,20,97,a1,1e-06,1e-06,8.21164961043695,0.97282,0.8485
cifar,trainUval,densenet,20,121,a1,1e-06,1e-06,13.431482541476278,0.99748,0.8646
cifar,trainUval,densenet,20,147,a1,1e-06,1e-06,13.508199653155032,0.99986,0.8751
cifar,trainUval,densenet,20,172,a1,1e-06,1e-06,12.424412386731639,0.9656,0.8432
cifar,trainUval,densenet,20,198,a1,1e-06,1e-06,12.153247360335065,0.97122,0.8468
cifar,trainUval,densenet,20,41,a1,1e-06,1e-06,11.733035665193341,0.91236,0.8112
cifar,trainUval,densenet,20,67,a1,1e-06,1e-06,13.464346077266491,0.99722,0.8496
cifar,trainUval,densenet,20,92,a1,1e-06,1e-06,13.203997267182707,0.95358,0.8302
cifar,val,densenet,20,117,a1,1e-06,1e-06,12.955979800742995,0.99452,0.8575
cifar,val,densenet,20,142,a1,1e-06,1e-06,13.153601078615907,0.99986,0.8744
cifar,val,densenet,20,168,a1,1e-06,1e-06,11.791340654277633,0.95934,0.8445
