dataset,split,model,k,epoch,layer,thresh,thresh_mode,total_persistence,minima,cps,train_acc,val_acc
mnist,trainUval,resnet,20,121,a1,1e-06,1e-06,10.50342250706774,81,159,0.99995,0.9789
mnist,val,resnet,20,71,a1,1e-06,1e-06,8.45911171296882,37,72,0.9981166666666667,0.9778
mnist,val,resnet,20,17,a1,1e-06,1e-06,7.115279936771913,63,125,0.9810333333333333,0.9701
mnist,val,resnet,20,1,a1,1e-06,1e-06,8.961080530978506,62,120,0.8846333333333334,0.883
mnist,val,resnet,20,183,a1,1e-06,1e-06,10.93396948788859,19,37,1.0,0.9794
cifar,train,resnet,20,101,a1,1e-06,1e-06,8.127180640119605,98,194,0.96376,0.8354
cifar,train,resnet,20,38,a1,1e-06,1e-06,10.223119480219793,109,212,0.87342,0.8039
cifar,train,resnet,20,127,a1,1e-06,1e-06,4.320445566367084,91,179,0.99686,0.8576
cifar,train,resnet,20,54,a1,1e-06,1e-06,8.48226815555472,107,208,0.95254,0.8315
cifar,trainUval,resnet,20,63,a1,1e-06,1e-06,19.19526495651087,59,117,0.98448,0.8457
cifar,trainUval,resnet,20,2,a1,1e-06,1e-06,27.06247031300154,197,388,0.60434,0.5917
cifar,trainUval,resnet,20,156,a1,1e-06,1e-06,13.124388478447031,113,222,0.9271,0.8138
cifar,trainUval,resnet,20,92,a1,1e-06,1e-06,15.783996853500526,119,233,0.9391,0.8209
cifar,val,resnet,20,96,a1,1e-06,1e-06,13.519697763365002,35,69,0.94706,0.8285
cifar,val,resnet,20,179,a1,1e-06,1e-06,11.90174574960838,46,90,0.949,0.8277
cifar,val,resnet,20,88,a1,1e-06,1e-06,12.948757983079076,55,107,0.93192,0.8212
cifar,val,resnet,20,56,a1,1e-06,1e-06,13.700842498483553,33,65,0.96268,0.8421
mnist,train,densenet,20,16,a1,1e-06,1e-06,8.303383534534078,164,313,0.9485833333333333,0.9391
mnist,train,densenet,20,119,a1,1e-06,1e-06,8.679018543060465,123,244,0.9989833333333333,0.971
mnist,train,densenet,20,20,a1,1e-06,1e-06,8.277629325335965,168,324,0.9592833333333334,0.9502
mnist,train,densenet,20,104,a1,1e-06,1e-06,9.370597113151575,148,282,0.9982666666666666,0.9714
mnist,trainUval,densenet,20,65,a1,1e-06,1e-06,9.520230715069829,179,341,0.9893,0.9673
mnist,trainUval,densenet,20,150,a1,1e-06,1e-06,9.225709200993947,132,260,0.9992833333333333,0.9721
mnist,trainUval,densenet,20,34,a1,1e-06,1e-06,10.129373696922357,184,359,0.9720833333333333,0.9594
mnist,trainUval,densenet,20,106,a1,1e-06,1e-06,9.121301255202411,151,295,0.99855,0.971
mnist,val,densenet,20,193,a1,1e-06,1e-06,9.959695827743644,33,62,0.99995,0.9717
mnist,val,densenet,20,141,a1,1e-06,1e-06,9.195258454081113,44,86,0.9993,0.972
mnist,val,densenet,20,27,a1,1e-06,1e-06,9.414283365050323,37,72,0.9648333333333333,0.9546
mnist,val,densenet,20,33,a1,1e-06,1e-06,9.875493959817959,37,70,0.97075,0.9585
cifar,train,densenet,20,173,a1,1e-06,1e-06,8.391215978406535,131,258,0.95934,0.8405
cifar,train,densenet,20,115,a1,1e-06,1e-06,7.93367589103093,201,391,0.99214,0.858
cifar,train,densenet,20,195,a1,1e-06,1e-06,7.759566847092515,146,290,0.96688,0.8416
cifar,train,densenet,20,9,a1,1e-06,1e-06,11.133055019713538,194,382,0.79738,0.7418
cifar,trainUval,densenet,20,26,a1,1e-06,1e-06,11.040172433938551,170,333,0.92282,0.8139
cifar,trainUval,densenet,20,5,a1,1e-06,1e-06,14.852262726773915,230,452,0.71228,0.6806
cifar,trainUval,densenet,20,75,a1,1e-06,1e-06,11.999693986540365,135,262,0.92906,0.8181
cifar,trainUval,densenet,20,166,a1,1e-06,1e-06,11.927390549061329,163,317,0.9286,0.8119
cifar,val,densenet,20,124,a1,1e-06,1e-06,12.797352235138305,66,128,0.99802,0.8665
cifar,val,densenet,20,194,a1,1e-06,1e-06,15.373900952065469,44,86,0.97604,0.851
cifar,val,densenet,20,170,a1,1e-06,1e-06,11.400810501338583,43,83,0.9564,0.8331
cifar,val,densenet,20,78,a1,1e-06,1e-06,10.831213294141662,49,96,0.94072,0.8333
mnist,train,resnet,20,84,a1,1e-06,1e-06,6.304207358436429,99,196,0.9993,0.9785
mnist,train,resnet,20,50,a1,1e-06,1e-06,8.926718774012443,145,284,0.9971833333333333,0.9754
mnist,train,resnet,20,61,a1,1e-06,1e-06,8.755188078985043,131,250,0.9982333333333333,0.9773
mnist,trainUval,resnet,20,162,a1,1e-06,1e-06,10.042238768208449,70,134,0.9999666666666667,0.9793
mnist,trainUval,resnet,20,98,a1,1e-06,1e-06,9.391448200570153,85,168,0.9998166666666667,0.9801
mnist,trainUval,resnet,20,198,a1,1e-06,1e-06,11.021927072888502,58,110,1.0,0.9808
mnist,trainUval,resnet,20,86,a1,1e-06,1e-06,9.25476157723142,92,180,0.9996,0.9793
mnist,val,resnet,20,146,a1,1e-06,1e-06,10.238817756283424,21,41,0.99995,0.9796
mnist,val,resnet,20,82,a1,1e-06,1e-06,9.146078255102111,29,57,0.99925,0.9789
mnist,val,resnet,20,69,a1,1e-06,1e-06,8.210513084759441,41,79,0.9984333333333333,0.9772
mnist,val,resnet,20,154,a1,1e-06,1e-06,10.957265924878016,26,51,0.99995,0.9802
cifar,train,resnet,20,94,a1,1e-06,1e-06,8.443958483305096,88,174,0.94912,0.8323
cifar,train,resnet,20,7,a1,1e-06,1e-06,12.750081338788732,151,296,0.77184,0.7346
cifar,train,resnet,20,125,a1,1e-06,1e-06,5.753293256841175,129,255,0.99552,0.8544
cifar,train,resnet,20,140,a1,1e-06,1e-06,2.542118143396806,120,238,0.99954,0.8637
cifar,trainUval,resnet,20,131,a1,1e-06,1e-06,14.272611407819568,128,251,0.9983,0.8594
cifar,trainUval,resnet,20,4,a1,1e-06,1e-06,15.571620591064857,150,295,0.695,0.6755
cifar,trainUval,resnet,20,167,a1,1e-06,1e-06,12.462294914083941,125,247,0.94722,0.8251
cifar,trainUval,resnet,20,68,a1,1e-06,1e-06,17.229955034130512,53,105,0.9896,0.8442
cifar,val,resnet,20,137,a1,1e-06,1e-06,14.371937394540168,47,93,0.99934,0.8636
