Simplification Threshold,Feature ID,Loss Start,Loss End,Feature Type,Persistence,Volume,Homogeneity,Majority Class,Major Class Size,Majority Class Coverage
4.7683579396107234e-07,96,8.106198947643861e-06,0.2187042236000707,minima-saddle,6.794851287850179e-06,1,1.0,1,1,0.0001
4.7683579396107234e-07,97,-0.0,0.21869611740112305,minima-saddle,5.960462772236497e-07,153,1.0,2,153,0.0219
4.7683579396107234e-07,98,7.748573807475623e-06,0.21870386597493052,saddle-saddle,1.0728745110100135e-06,0,0.0,1,0,0.0
4.7683579396107234e-07,99,4.768370445162873e-07,0.21869659423816756,saddle-saddle,0.0,0,0.0,5,0,0.0
4.7683579396107234e-07,100,-0.0,0.21869611740112305,minima-saddle,4.768370445162873e-07,166,1.0,9,166,0.0239
4.7683579396107234e-07,101,2.264974000354414e-06,0.2186983823751234,minima-saddle,7.986972377693746e-06,5,1.0,1,5,0.0006
4.7683579396107234e-07,102,4.768370445162873e-07,0.21869659423816756,minima-saddle,7.152551688704989e-07,2,1.0,4,2,0.0003
4.7683579396107234e-07,103,5.125986263010418e-06,0.21870124338738606,minima-saddle,3.218629444745602e-06,1,1.0,0,1,0.0001
4.7683579396107234e-07,104,1.1920928244535389e-07,0.2186962366104055,minima-saddle,5.960462203802308e-07,1,1.0,9,1,0.0001
4.7683579396107234e-07,105,5.722029527532868e-06,0.21870183943065058,minima-saddle,2.0265442799427547e-06,1,1.0,1,1,0.0001
4.7683579396107234e-07,106,5.125986263010418e-06,0.21870124338738606,minima-saddle,1.3112944543536287e-06,1,1.0,1,1,0.0001
4.7683579396107234e-07,107,3.099436753473128e-06,0.21869921683787652,saddle-saddle,0.0,4,1.0,7,4,0.0005
4.7683579396107234e-07,108,1.4305104514278355e-06,0.21869754791157447,saddle-saddle,0.0,4,1.0,2,4,0.0006
4.7683579396107234e-07,109,4.2437604861333966e-05,0.21873855500598438,saddle-saddle,7.152266334742308e-07,26,1.0,1,26,0.0033
4.7683579396107234e-07,110,3.576278118089249e-07,0.21869647502893486,minima-saddle,4.768368739860307e-07,1,1.0,2,1,0.0001
4.7683579396107234e-07,111,1.1920922133867862e-06,0.21869730949333643,saddle-saddle,1.1920906217710581e-07,13,1.0,0,13,0.0019
4.7683579396107234e-07,112,9.65590606938349e-06,0.21870577330719243,minima-saddle,4.768314283865038e-06,1,1.0,0,1,0.0001
4.7683579396107234e-07,113,5.960462772236497e-07,0.21869671344740027,saddle-saddle,0.0,5,1.0,3,5,0.0007
4.7683579396107234e-07,114,1.5497195136049413e-06,0.21869766712063665,saddle-saddle,0.0,8,1.0,6,8,0.0012
4.7683579396107234e-07,115,1.9073468138230965e-06,0.21869802474793687,minima-saddle,2.0265520106477197e-06,2,1.0,7,2,0.0003
4.7683579396107234e-07,116,1.1920928244535389e-07,0.2186962366104055,minima-saddle,8.344645721081179e-07,4,1.0,6,4,0.0006
4.7683579396107234e-07,117,8.344646857949556e-07,0.21869695186580884,minima-saddle,3.337851921969559e-06,1,1.0,8,1,0.0001
4.7683579396107234e-07,118,1.3112935448589269e-05,0.21870923033657164,saddle-saddle,2.3841585061745718e-07,12,1.0,1,12,0.0015
4.7683579396107234e-07,119,-0.0,0.21869611740112305,minima-saddle,5.960462772236497e-07,233,1.0,6,233,0.0339
4.7683579396107234e-07,120,2.6464111215318553e-05,0.21872258151233837,minima-saddle,8.105986125883646e-06,1,1.0,1,1,0.0001
4.7683579396107234e-07,121,2.7418097943154862e-06,0.21869885921091736,minima-saddle,1.0728801953518996e-06,1,1.0,1,1,0.0001
4.7683579396107234e-07,122,1.1920922133867862e-06,0.21869730949333643,saddle-saddle,3.5762730021815514e-07,90,1.0,9,90,0.0129
4.7683579396107234e-07,123,2.145764938177308e-06,0.21869826316606122,minima-saddle,5.960448561381781e-07,1,1.0,0,1,0.0001
4.7683579396107234e-07,124,3.576278118089249e-07,0.21869647502893486,minima-saddle,4.768368739860307e-07,4,1.0,7,4,0.0005
4.7683579396107234e-07,125,2.145764938177308e-06,0.21869826316606122,saddle-saddle,0.0,2,1.0,0,2,0.0003
4.7683579396107234e-07,126,2.50339189733495e-06,0.21869862079302038,minima-saddle,3.218637630197918e-06,1,1.0,7,1,0.0001
4.7683579396107234e-07,127,-0.0,0.21869611740112305,minima-saddle,4.768370445162873e-07,383,1.0,8,383,0.0561
