dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,average_colless_index,total_colless,missing_colless,missing_colless_frac,sackin_index,average_sackin_index,leaf_count,total_volume,train_acc,val_acc,average_branching_factor_variance_w3,colless_index_variance_w3,sackin_index_variance_w3,total_volume_variance_w3,missing_colless_frac_variance_w3,average_branching_factor_variance_w5,colless_index_variance_w5,sackin_index_variance_w5,total_volume_variance_w5,missing_colless_frac_variance_w5,average_branching_factor_variance_w7,colless_index_variance_w7,sackin_index_variance_w7,total_volume_variance_w7,missing_colless_frac_variance_w7,average_branching_factor_variance_w9,colless_index_variance_w9,sackin_index_variance_w9,total_volume_variance_w9,missing_colless_frac_variance_w9,average_branching_factor_variance_w11,colless_index_variance_w11,sackin_index_variance_w11,total_volume_variance_w11,missing_colless_frac_variance_w11,average_branching_factor_variance_w13,colless_index_variance_w13,sackin_index_variance_w13,total_volume_variance_w13,missing_colless_frac_variance_w13,average_branching_factor_variance_w15,colless_index_variance_w15,sackin_index_variance_w15,total_volume_variance_w15,missing_colless_frac_variance_w15
cifar,trainUval,densenet,20,171,a1,0.0,0.0,372,2.0273224043715845,152784.0,868.0909090909091,176,7,0.0382513661202185,4800486.0,25399.396825396827,189,60000,0.96238,0.8369,2.9720078513646532e-05,11889357519.0,282356704816.3334,0.0,3.321028552761522e-05,4.381969226533494e-05,7236284024.700001,222514214749.5,0.0,8.064430735148874e-05,4.531078059789284e-05,17294698408.95238,509294212548.2381,0.0,7.503854307145843e-05,9.514844846716068e-05,24838406090.25,431589778022.69446,0.0,0.00011369502683195859,0.00011894878329768641,46667764479.563644,546493720632.21814,0.0,0.0001252006747268219,0.00028981996200231225,86686990855.02562,911139465076.6411,0.0,0.0002880597619419367,0.0002631610682312326,282715319472.3524,1793168714723.0667,0.0,0.00026051130372252044
cifar,trainUval,densenet,20,197,a1,0.0,0.0,442,2.0704225352112675,174178.0,879.6868686868687,198,15,0.0704225352112676,4059417.0,17726.711790393012,229,60000,0.97844,0.8524,1.3910013735647026e-06,12496452992.333332,270211327301.33337,0.0,6.002545470323347e-07,1.5286276802344696e-05,10384920224.3,507789021205.19995,0.0,1.822270242378987e-05,5.594436177119719e-05,17970027188.61905,459281089373.57135,0.0,7.881737353775192e-05,7.725264902101202e-05,31713140540.77778,616484393185.5277,0.0,8.580078528326151e-05,0.00014727713059288383,40028138397.218185,597121246023.6726,0.0,0.00016007446186825026,0.0001484751721712251,64329949500.89744,541471099267.41034,0.0,0.00015804236049301722,0.00026488659056259724,92597441919.28572,973496307254.1238,0.0,0.0002592897432803658
cifar,trainUval,densenet,20,40,a1,0.0,0.0,351,2.023121387283237,903632.0,5410.970059880239,167,6,0.0346820809248554,6639769.0,37302.07303370786,178,60000,0.8937,0.8059,1.6476327454689562e-06,15029937916.0,383762426937.3334,0.0,5.21888890154488e-07,6.0844104837526995e-05,20613564336.800003,443936257150.8,0.0,5.774034844158268e-05,9.038291455355796e-05,23488699877.904766,542055190852.1429,0.0,7.996009241263061e-05,0.0001315832253341901,31270630283.0,579049635152.75,0.0,0.000147128765111788,0.00012326444199996567,47614870928.67273,569612924868.6182,0.0,0.00013558765634215207,0.00013564419518363288,45547686099.525635,654038225366.3334,0.0,0.00014340900581015975,0.00014788624660777092,72046655841.9238,629330871281.9524,0.0,0.00016088167198025975
cifar,trainUval,densenet,20,66,a1,0.0,0.0,503,2.032388663967611,178150.0,751.6877637130801,237,10,0.0404858299595141,6558648.0,25619.71875,256,60000,0.99666,0.8494,8.511711768883698e-05,14076148732.0,407558560137.3334,0.0,9.003169114478758e-05,0.0001135510279843379,28399496342.800003,357018312070.80005,0.0,0.00010451183261830871,0.0001589373814411823,30659550979.61905,483561474092.5715,0.0,0.00015077560443827153,0.0001399085439778889,36989193474.111115,446658631005.5278,0.0,0.00013511979441310223,0.00011809600883840474,34742621834.85454,597301132374.2909,0.0,0.00012810029150178842,0.0001281481481839756,53827320866.14102,631636761710.9103,0.0,0.00014406965159366797,0.00014076948326934745,60491726504.09524,796903668678.5999,0.0,0.00014823264477730873
cifar,trainUval,densenet,20,91,a1,0.0,0.0,319,2.0126582278481013,154844.0,1005.4805194805194,154,4,0.0253164556962025,5193714.0,32259.093167701863,161,60000,0.96008,0.8328,0.00011151978861558663,8632086434.333334,339972741129.3333,0.0,0.0001160408564050291,0.00022295946178087293,19884991207.3,343148179481.2,0.0,0.0002174867527616335,0.0001758393413461058,38347861716.90476,243074067615.66666,0.0,0.0001718424769027575,0.00013995873476171504,30900953107.11111,461323513390.94446,0.0,0.0001327881001039709,0.00013826860181250598,41317898904.01817,476404766678.56366,0.0,0.0001374239179504459,0.0001281481481839756,47753295632.60257,712506181015.641,0.0,0.0001376716829647312,0.00011522692037196209,59149613623.695244,755590128774.638,0.0,0.00012537849458071687
cifar,val,densenet,20,116,a1,0.0,0.0,134,2.046153846153846,25930.0,432.1666666666667,60,5,0.0769230769230769,299645.0,4342.68115942029,69,10000,0.99456,0.8565,0.00041762350447541104,4943403786.333334,286382071369.3334,0.0,0.00040964547860295245,0.000237020392309936,14139141773.7,179582991167.2,0.0,0.00023781848317243917,0.00016730745986971891,18133569277.904762,299816321324.8095,0.0,0.00016480683147209686,0.00016618968942052606,39457639373.44444,254185660601.77777,0.0,0.00016545936852762667,0.00014609022678242835,41497040720.27272,549198025630.0182,0.0,0.00013905273782542898,0.00012423527605698849,44818016962.269226,576776048548.7437,0.0,0.0001196486661946085,0.00011322054210853359,46924000599.1238,733761945670.1239,0.0,0.0001232964917702686
cifar,val,densenet,20,141,a1,0.0,0.0,181,2.0689655172413794,25392.0,321.4177215189873,79,8,0.0919540229885057,306373.0,3259.2872340425533,94,10000,0.99984,0.8746,0.0004149373358798589,5442837482.333334,109700380330.33334,0.0,0.00040384910746509023,0.00022424295362251923,5037264129.5,226944578614.20004,0.0,0.00022333040235332586,0.00021285989100843978,16419247435.238096,164695676059.57144,0.0,0.0002155626052441598,0.00017163478885540612,26695328662.111115,375748917074.25,0.0,0.00016818221364938191,0.00014285576198512414,40308814184.05455,341069926573.4546,0.0,0.0001387053854585457,0.0001255737348223952,38811615058.730774,549115802122.7436,0.0,0.00012115890273420596,0.00011824972006978596,41067770859.12382,569873067200.0667,0.0,0.00011490555788106034
cifar,val,densenet,20,167,a1,0.0,0.0,101,2.0408163265306123,12494.0,271.60869565217394,46,3,0.0612244897959183,250678.0,4820.7307692307695,52,10000,0.96384,0.8435,0.0002785434877561144,5975101443.0,146538578874.33334,0.0,0.0002784089248291945,0.0002801926156399969,10224391323.2,95887839127.79999,0.0,0.00027631837269858153,0.0002186235169869481,11895470726.666666,312742846403.0,0.0,0.00021661417473803314,0.00016811358863841298,17027822009.499998,238806755552.3611,0.0,0.00016712087529342228,0.00014216806085219535,23465273751.254543,364824566335.0182,0.0,0.00014133073017229492,0.00013354939551648678,35593806899.6923,341192103010.43585,0.0,0.00012969573453234232,0.00012902820233153979,35410841097.4,473549182770.92377,0.0,0.00012396043108156698
cifar,val,densenet,20,192,a1,0.0,0.0,111,2.037037037037037,20933.0,418.66,50,4,0.074074074074074,242017.0,4245.912280701755,57,10000,0.97034,0.8451,0.00020438306785546597,14605922631.0,126009240902.33333,0.0,0.00021620261738532678,0.0002190373619274909,10319144863.699999,267329017309.7,0.0,0.0002102868503022609,0.00020233099351572373,9841092282.809523,180755009245.61905,0.0,0.00019563121917268587,0.00017107901294892785,9385047065.11111,290360768996.5,0.0,0.00017208690053240535,0.00015564953632025904,15224392624.2,242757972081.85455,0.0,0.00015341605700249753,0.00014702141594920154,21231559774.435894,308132062498.8974,0.0,0.0001434558963488192,0.00012788943240764128,34066024941.57143,297451071829.0952,0.0,0.0001237453191601663
cifar,val,densenet,20,36,a1,0.0,0.0,109,2.0,42983.0,826.5961538461538,52,2,0.037037037037037,353276.0,6423.2,55,10000,0.86354,0.788,0.00017281714642729704,20071022292.333332,214240546573.0,0.0,0.00015323605957556468,0.00012001653195850692,10205249057.300001,221730812761.7,0.0,0.00012068105356672211,0.00015490774516105073,6960707590.285716,227312428871.9048,0.0,0.00015140040405459742,0.00017419624106884593,9824877720.11111,193434162318.27777,0.0,0.00016679215351480983,0.00017491709081101476,9563797615.472727,242864575346.16367,0.0,0.0001713627866244613,0.0001472076229867479,14367969295.269234,214751250752.4744,0.0,0.00014359032185698735,0.00015398841719295813,19366798392.55238,286793033269.8095,0.0,0.00014630629817535308
