dataset,split,model,epoch,layer,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,centroid_mean_correlation,neighborhood_purity,knn_accuracy,train_acc,val_acc
mnist,val,resnet,34,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/val/a1_e34.pt,5,10000,10,,,,27.043117418392992,22.7574422005465,-0.0881398403197004,,,0.9902833333333333,0.9741
mnist,val,resnet,67,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/val/a1_e67.pt,5,10000,10,,,,27.672604810146503,24.12719291198637,-0.0900030093295812,,,0.9982833333333333,0.9771
cifar,train,densenet,1,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e1.pt,5,50000,10,,,,11.66055461300352,2.3610002757601025,-0.0314822192929509,,,0.50056,0.4927
cifar,train,densenet,131,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e131.pt,5,50000,10,,,,7.366433876624416,6.819326321063033,-0.0919377048028471,,,0.99942,0.8708
cifar,train,densenet,164,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e164.pt,5,50000,10,,,,6.1239380045306016,3.867107958064522,-0.055582609791852,,,0.95514,0.8371
cifar,train,densenet,197,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e197.pt,5,50000,10,,,,6.029432289559891,4.568237977430605,-0.0281084778001429,,,0.97844,0.8524
cifar,train,densenet,49,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e49.pt,5,50000,10,,,,8.831172724278797,5.210436326661205,-0.0792633421060278,,,0.94834,0.8297
cifar,train,densenet,81,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e81.pt,5,50000,10,,,,7.220212541621535,4.407802387900943,-0.0679960340685949,,,0.94396,0.8272
cifar,trainUval,densenet,112,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e112.pt,5,60000,10,,,,6.8783036565090985,5.063693124306325,-0.0867594781953333,,,0.98932,0.8511
cifar,trainUval,densenet,145,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e145.pt,5,60000,10,,,,7.207210090261801,6.610386543034084,-0.0919021875532459,,,0.99992,0.8738
cifar,trainUval,densenet,178,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e178.pt,5,60000,10,,,,5.946918647246073,4.00680272460948,-0.0472651852900515,,,0.96674,0.8425
cifar,trainUval,densenet,3,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e3.pt,5,60000,10,,,,13.561088557398795,3.181633792161275,-0.069723209728366,,,0.61074,0.5877
cifar,trainUval,densenet,62,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e62.pt,5,60000,10,,,,8.88975696532833,6.418318688636672,-0.0975570695824144,,,0.9943,0.8471
cifar,trainUval,densenet,95,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e95.pt,5,60000,10,,,,6.926977199138554,4.301207658455692,-0.0828833539759283,,,0.97096,0.8431
cifar,val,densenet,126,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/val/a1_e126.pt,5,10000,10,,,,6.279795918162209,4.238119405832841,-0.0826238301308101,,,0.9986,0.8715
cifar,val,densenet,159,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/val/a1_e159.pt,5,10000,10,,,,5.670187843416596,2.932171565759909,-0.0473303148123542,,,0.95474,0.837
cifar,val,densenet,191,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/val/a1_e191.pt,5,10000,10,,,,5.560314825706968,3.3352910040143784,-0.0224531311362783,,,0.975,0.8445
cifar,val,densenet,43,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/val/a1_e43.pt,5,10000,10,,,,8.893181482101506,4.578225217895128,-0.0700432409495703,,,0.9147,0.8148
cifar,val,densenet,76,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/val/a1_e76.pt,5,10000,10,,,,7.474887927640704,3.52212132789206,-0.0572507997821591,,,0.93106,0.8272
mnist,train,densenet,107,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e107.pt,5,60000,10,,,,18.976906757875085,16.228302349103615,-0.0963617315429037,,,0.9984666666666666,0.9718
mnist,train,densenet,14,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e14.pt,5,60000,10,,,,16.654921910138135,10.792331151062546,-0.09433487331465,,,0.93995,0.9335
mnist,train,densenet,172,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e172.pt,5,60000,10,,,,19.095872373602106,16.690926945991883,-0.0988787814427194,,,0.9998833333333333,0.9722
mnist,train,densenet,24,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e24.pt,5,60000,10,,,,17.633382021955804,13.581399961148351,-0.0942817861666819,,,0.9634,0.9529
mnist,train,densenet,57,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e57.pt,5,60000,10,,,,18.579801664313305,15.224113849645448,-0.0948713448251694,,,0.9885833333333334,0.9668
mnist,train,densenet,9,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e9.pt,5,60000,10,,,,15.071660573430028,7.912004520080456,-0.0885518504365336,,,0.9043166666666667,0.8994
mnist,trainUval,densenet,120,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/trainUval/a1_e120.pt,5,70000,10,,,,18.962712001635158,16.652225177605487,-0.0975018389380035,,,0.9991833333333333,0.9718
mnist,trainUval,densenet,153,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/trainUval/a1_e153.pt,5,70000,10,,,,19.007561802360584,16.630193863174828,-0.0975895995224236,,,0.99945,0.9731
mnist,trainUval,densenet,186,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/trainUval/a1_e186.pt,5,70000,10,,,,19.23945968106952,17.113340007041362,-0.0989015323454736,,,0.9999166666666667,0.9721
mnist,trainUval,densenet,38,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/trainUval/a1_e38.pt,5,70000,10,,,,18.28605102265482,14.547635272635876,-0.0949123187096708,,,0.9772,0.9627
mnist,trainUval,densenet,70,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/trainUval/a1_e70.pt,5,70000,10,,,,18.59234930011732,15.593206511329791,-0.0954057179666446,,,0.9893666666666666,0.9677
mnist,val,densenet,101,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/val/a1_e101.pt,5,10000,10,,,,18.98405901808965,16.09552254342612,-0.0961720805013472,,,0.99825,0.971
mnist,val,densenet,134,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/val/a1_e134.pt,5,10000,10,,,,18.902398815921416,16.3351181470341,-0.0977444992068483,,,0.9993,0.9712
mnist,val,densenet,167,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/val/a1_e167.pt,5,10000,10,,,,19.067127863955687,16.356740260200123,-0.0977968010113115,,,0.9998166666666667,0.972
mnist,val,densenet,2,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/val/a1_e2.pt,5,10000,10,,,,10.38534204031803,4.712082028717544,-0.0485538430181762,,,0.77425,0.7716
mnist,val,densenet,51,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/val/a1_e51.pt,5,10000,10,,,,18.603366518385236,15.254824730142614,-0.0949188980681503,,,0.98665,0.9665
mnist,val,densenet,84,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/val/a1_e84.pt,5,10000,10,,,,18.815298955776598,15.76252369874132,-0.0964728411115266,,,0.9950166666666667,0.9706
cifar,train,resnet,115,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/train/a1_e115.pt,5,50000,10,,,,10.227544141255768,7.144802588582039,-0.0958924020131345,,,0.9851,0.8507
cifar,train,resnet,148,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/train/a1_e148.pt,5,50000,10,,,,10.568838777534948,8.917591428841321,-0.1002455485344629,,,0.99978,0.8649
cifar,train,resnet,180,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/train/a1_e180.pt,5,50000,10,,,,7.793357346201224,5.260354842806907,-0.0844828163550228,,,0.96328,0.8354
cifar,train,resnet,32,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/train/a1_e32.pt,5,50000,10,,,,12.074776776461338,4.259566223722492,-0.0197174079949133,,,0.82304,0.7648
cifar,train,resnet,65,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/train/a1_e65.pt,5,50000,10,,,,14.17665515357747,8.37710316801548,-0.0897471484623655,,,0.98704,0.8446
cifar,train,resnet,98,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/train/a1_e98.pt,5,50000,10,,,,10.25528253891238,5.620305720231284,-0.0845184849604978,,,0.9471,0.8299
cifar,trainUval,resnet,129,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/trainUval/a1_e129.pt,5,60000,10,,,,10.23322832729352,7.8772421027571875,-0.0981549061424872,,,0.99806,0.857
cifar,trainUval,resnet,161,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/trainUval/a1_e161.pt,5,60000,10,,,,7.993969397861107,4.683213935391592,-0.0844645689690471,,,0.94256,0.829
cifar,trainUval,resnet,194,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/trainUval/a1_e194.pt,5,60000,10,,,,7.441542759024263,4.92428599440285,-0.0791313106601328,,,0.97408,0.8458
cifar,trainUval,resnet,46,a1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_cifar/Tensors/trainUval/a1_e46.pt,5,60000,10,,,,12.089292373140994,5.482450092489025,-0.0697590468034732,,,0.91028,0.8139
