dataset,split,model,layer,epoch,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,centroid_mean_correlation,train_acc,val_acc
mnist,trainUval,resnet,a1,136,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/trainUval/a1_e136.pt,5,70000,10,25.15151752886938,38.16456690901646,0.6590279823908413,28.74359696865403,25.736033700304752,-0.0928073135201561,0.99995,0.9799
mnist,trainUval,resnet,a1,169,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/trainUval/a1_e169.pt,5,70000,10,24.96807539236228,38.33625151527468,0.6512915166579082,29.13282015889741,26.489728216687123,-0.0926028327634591,0.9999833333333332,0.9802
mnist,trainUval,resnet,a1,200,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/trainUval/a1_e200.pt,5,70000,10,24.712558070865583,38.24827030281257,0.6461091671653543,29.238701716888844,26.72531691758416,-0.0947856421355966,1.0,0.9805
mnist,trainUval,resnet,a1,53,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/trainUval/a1_e53.pt,5,70000,10,25.622880319633296,37.62861897440907,0.6809412893164964,27.586437901144865,23.7620973901364,-0.0900784188051999,0.9976166666666668,0.9767
mnist,trainUval,resnet,a1,86,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/trainUval/a1_e86.pt,5,70000,10,25.507077126761555,38.02996815686553,0.6707099259602398,28.24376972285106,24.7014508521354,-0.0906300377802866,0.9996,0.9793
mnist,val,resnet,a1,117,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/val/a1_e117.pt,5,10000,10,25.402007003342863,38.27389514073426,0.6636901446779566,28.637189572280658,25.67200263864438,-0.090982559574312,0.99995,0.9795
mnist,val,resnet,a1,15,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/val/a1_e15.pt,5,10000,10,26.26806840014348,37.00842937277011,0.7097860905026917,26.054978164090205,22.06020580105244,-0.0864209821254765,0.9777166666666668,0.9677
mnist,val,resnet,a1,182,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/val/a1_e182.pt,5,10000,10,24.92647144280066,38.22764865858228,0.6520534826879696,28.98246129624712,25.87501254485292,-0.0936368587283436,1.0,0.9807
mnist,val,resnet,a1,34,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/val/a1_e34.pt,5,10000,10,25.815250263011933,37.39701809022725,0.6903023711871318,27.043117418392992,22.7574422005465,-0.0881398403197004,0.9902833333333332,0.9741
mnist,val,resnet,a1,67,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/resnet_mnist/Tensors/val/a1_e67.pt,5,10000,10,25.686204421012867,37.754755132363535,0.680343557545538,27.672604810146503,24.12719291198637,-0.0900030093295812,0.9982833333333332,0.9771
cifar,train,densenet,a1,1,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e1.pt,5,50000,10,24.04461227068669,26.925208274973645,0.8930149035480479,11.66055461300352,2.3610002757601025,-0.0314822192929509,0.50056,0.4927
cifar,train,densenet,a1,131,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e131.pt,5,50000,10,6.682483494185622,9.984950947810065,0.6692555155367337,7.366433876624416,6.819326321063033,-0.0919377048028471,0.99942,0.8708
cifar,train,densenet,a1,164,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e164.pt,5,50000,10,6.431350507805832,8.921538783132544,0.720879061801001,6.1239380045306016,3.867107958064522,-0.055582609791852,0.95514,0.8371
cifar,train,densenet,a1,197,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e197.pt,5,50000,10,5.422793269254391,8.143170790699745,0.665931417703743,6.029432289559891,4.568237977430605,-0.0281084778001429,0.97844,0.8524
cifar,train,densenet,a1,49,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e49.pt,5,50000,10,12.723515280142085,15.52843851520115,0.8193686227811467,8.831172724278797,5.210436326661205,-0.0792633421060278,0.94834,0.8297
cifar,train,densenet,a1,81,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/train/a1_e81.pt,5,50000,10,10.032151582292126,12.408124352756143,0.8085147518741416,7.220212541621535,4.407802387900943,-0.0679960340685949,0.94396,0.8272
cifar,trainUval,densenet,a1,112,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e112.pt,5,60000,10,7.56791836546382,10.269885303248223,0.7369038837337542,6.8783036565090985,5.063693124306325,-0.0867594781953333,0.98932,0.8511
cifar,trainUval,densenet,a1,145,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e145.pt,5,60000,10,6.575876229200099,9.79812348648196,0.67113628831812,7.207210090261801,6.610386543034084,-0.0919021875532459,0.99992,0.8738
cifar,trainUval,densenet,a1,178,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e178.pt,5,60000,10,5.94665333818367,8.449604349192612,0.7037789099263438,5.946918647246073,4.00680272460948,-0.0472651852900515,0.96674,0.8425
cifar,trainUval,densenet,a1,3,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e3.pt,5,60000,10,22.999647709604595,26.753235782163628,0.8596959222756319,13.561088557398795,3.181633792161275,-0.069723209728366,0.61074,0.5877
cifar,trainUval,densenet,a1,62,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e62.pt,5,60000,10,11.866069556351343,14.871920562688688,0.7978841405407617,8.88975696532833,6.418318688636672,-0.0975570695824144,0.9943,0.8471
cifar,trainUval,densenet,a1,95,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/trainUval/a1_e95.pt,5,60000,10,8.702772897513167,11.168758486826576,0.7792068301752598,6.926977199138554,4.301207658455692,-0.0828833539759283,0.97096,0.8431
cifar,val,densenet,a1,126,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/val/a1_e126.pt,5,10000,10,7.23384060998425,9.637682834913534,0.7505788200228889,6.279795918162209,4.238119405832841,-0.0826238301308101,0.9986,0.8715
cifar,val,densenet,a1,159,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/val/a1_e159.pt,5,10000,10,6.899880401107111,8.987385340831533,0.7677294496052751,5.670187843416596,2.932171565759909,-0.0473303148123542,0.95474,0.837
cifar,val,densenet,a1,191,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/val/a1_e191.pt,5,10000,10,5.89306140227169,8.158907519824922,0.7222855986481566,5.560314825706968,3.3352910040143784,-0.0224531311362783,0.975,0.8445
cifar,val,densenet,a1,43,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/val/a1_e43.pt,5,10000,10,14.08747510773108,16.705082736209487,0.8433047192993214,8.893181482101506,4.578225217895128,-0.0700432409495703,0.9147,0.8148
cifar,val,densenet,a1,76,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_cifar/Tensors/val/a1_e76.pt,5,10000,10,10.997890874942374,13.358280825570535,0.8233013677845519,7.474887927640704,3.52212132789206,-0.0572507997821591,0.93106,0.8272
mnist,train,densenet,a1,107,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e107.pt,5,60000,10,19.87118056153741,27.48663409906867,0.7229397564618766,18.976906757875085,16.228302349103615,-0.0963617315429037,0.9984666666666666,0.9718
mnist,train,densenet,a1,14,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e14.pt,5,60000,10,21.294639080838213,27.117289235356665,0.7852790482122883,16.654921910138135,10.792331151062546,-0.09433487331465,0.93995,0.9335
mnist,train,densenet,a1,172,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e172.pt,5,60000,10,19.50026733527669,27.30601855040026,0.7141380681069978,19.095872373602106,16.690926945991883,-0.0988787814427194,0.9998833333333332,0.9722
mnist,train,densenet,a1,24,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e24.pt,5,60000,10,20.772894257451576,27.30446891656361,0.760787339278743,17.633382021955804,13.581399961148351,-0.0942817861666819,0.9634,0.9529
mnist,train,densenet,a1,57,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e57.pt,5,60000,10,20.14286231084828,27.43394731700372,0.7342312820715966,18.579801664313305,15.224113849645448,-0.0948713448251694,0.9885833333333334,0.9668
mnist,train,densenet,a1,9,/media/santripta/data2/Inference_better/landscape_data_cross_epoch_re/densenet_mnist/Tensors/train/a1_e9.pt,5,60000,10,22.13433122138922,26.893248971337314,0.8230441492948612,15.071660573430028,7.912004520080456,-0.0885518504365336,0.9043166666666668,0.8994
