dataset,split,model,epoch,layer,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,neighborhood_purity,knn_accuracy,neighbourhood_purity_15,knn_accuracy_15,neighbourhood_purity_20,knn_accuracy_20,neighbourhood_purity_25,knn_accuracy_25,neighbourhood_purity_30,knn_accuracy_30,neighbourhood_purity_35,knn_accuracy_35,neighbourhood_purity_40,knn_accuracy_40,neighbourhood_purity_45,knn_accuracy_45,neighbourhood_purity_60,knn_accuracy_60,neighbourhood_purity_80,knn_accuracy_80,train_acc,val_acc
cifar,train,densenet,200,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\train\a1_e200.pt,5,50000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.97902,0.8529
cifar,train,densenet,42,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\train\a1_e42.pt,5,50000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.91826,0.8185
cifar,train,densenet,64,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\train\a1_e64.pt,5,50000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.99646,0.848
cifar,train,densenet,86,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\train\a1_e86.pt,5,50000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.93656,0.8246
cifar,val,densenet,106,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\val\a1_e106.pt,5,10000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.98184,0.8491
cifar,val,densenet,128,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\val\a1_e128.pt,5,10000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.9988,0.8644
cifar,val,densenet,15,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\val\a1_e15.pt,5,10000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.79922,0.7518
cifar,val,densenet,171,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\val\a1_e171.pt,5,10000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.96238,0.8369
cifar,val,densenet,193,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\val\a1_e193.pt,5,10000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.96282,0.8354
cifar,val,densenet,34,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\val\a1_e34.pt,5,10000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.85462,0.7817
cifar,val,densenet,56,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\val\a1_e56.pt,5,10000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.98054,0.8416
cifar,val,densenet,78,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\val\a1_e78.pt,5,10000,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.94072,0.8333
cifar,trainUval,resnet,0,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\trainUval\a1_e0.pt,5,60000,10,,,,,,,,0.2524346576093459,0.4041666666666667,0.2457310634173123,0.4044833333333333,0.2412705808134331,0.4046166666666667,0.2376496775158476,0.4019333333333333,0.2345408038802585,0.401,0.2317900590677851,0.3987166666666666,0.229480313528319,0.3981666666666666,0.223614560843942,0.39565,0.2182150588021291,0.3917833333333333,0.1,0.1
cifar,trainUval,resnet,12,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\trainUval\a1_e12.pt,5,60000,10,,,,,,,,0.6615508639911314,0.7736166666666666,0.6577274383497687,0.7744166666666666,0.654520483614013,0.7751166666666667,0.6521271010737799,0.7753,0.6499599892106147,0.7749166666666667,0.6480871490663902,0.7754333333333333,0.6464069567405679,0.7761833333333333,0.6418417700782114,0.7754166666666666,0.6370920729824445,0.7747333333333334,0.74782,0.7113
cifar,trainUval,resnet,141,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\trainUval\a1_e141.pt,5,60000,10,,,,,,,,0.9604369435575112,0.9772666666666666,0.9601157510101282,0.9773833333333334,0.9599195590454234,0.9774833333333334,0.9596823179853676,0.9775166666666668,0.959464699994296,0.9775333333333334,0.9592735557083124,0.9774666666666668,0.9591334379103,0.9773833333333334,0.9587252003885216,0.9774666666666668,0.9582634376239144,0.9773,0.99972,0.8641
cifar,trainUval,resnet,163,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\trainUval\a1_e163.pt,5,60000,10,,,,,,,,0.8823246190421847,0.9371166666666668,0.880414483591523,0.9373,0.8785673127927673,0.9382,0.8770741014159459,0.9381166666666668,0.8757048004361682,0.9377666666666666,0.8744768886408193,0.9376833333333332,0.8734298976501055,0.93765,0.8706879567220921,0.9372333333333334,0.8676851691499743,0.9371166666666668,0.94592,0.8252
cifar,trainUval,resnet,185,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\trainUval\a1_e185.pt,5,60000,10,,,,,,,,0.9040169120031704,0.9484333333333334,0.902426720354354,0.9484333333333334,0.9010396806986744,0.9488,0.8998439572350846,0.9490166666666666,0.8987659390124213,0.9486333333333332,0.8978297547057413,0.94865,0.8969976919178381,0.9487166666666668,0.8949479378380937,0.9482333333333334,0.892739283804974,0.9481833333333334,0.96144,0.8342
cifar,trainUval,resnet,26,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\trainUval\a1_e26.pt,5,60000,10,,,,,,,,0.7955963239019261,0.8821833333333333,0.7926861882632341,0.8834666666666666,0.7900202572253552,0.8843166666666666,0.7878109946763339,0.8843,0.7859425969248258,0.8845666666666666,0.7843062417299048,0.8840666666666667,0.7827587742231885,0.8843333333333333,0.778939652902069,0.8839833333333333,0.7746981194995557,0.8836166666666667,0.90542,0.8156
