dataset,randomness,split,model,epoch,layer,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,neighborhood_purity,knn_accuracy,neighbourhood_purity_20,knn_accuracy_20,train_acc,val_acc
cifar,0.2,val,densenet,200,a4,,,10000,10,,,,,,,,0.503413879415251,0.7238,0.9943,0.7188
cifar,0.25,val,densenet,200,a4,,,10000,10,,,,,,,,0.4843647749251258,0.708,0.99266,0.6933
cifar,0.3,val,densenet,200,a4,,,10000,10,,,,,,,,0.4764294131463819,0.6967,0.99006,0.6528
cifar,0.35,val,densenet,200,a4,,,10000,10,,,,,,,,0.457183227214818,0.6804,0.99074,0.6086
cifar,0.4,val,densenet,200,a4,,,10000,10,,,,,,,,0.4539343513216001,0.6744,0.98562,0.5638
cifar,0.45,val,densenet,200,a4,,,10000,10,,,,,,,,0.4343725233749308,0.6535,0.98492,0.5336
cifar,0.5,val,densenet,200,a4,,,10000,10,,,,,,,,0.4212579884656913,0.6474,0.98472,0.5092
cifar,0.6,val,densenet,200,a4,,,10000,10,,,,,,,,0.3940531059901464,0.6128,0.98172,0.4162
cifar,0.7,val,densenet,200,a4,,,10000,10,,,,,,,,0.3619349254559553,0.563,0.97752,0.3136
cifar,0.8,val,densenet,200,a4,,,10000,10,,,,,,,,0.3321057966663807,0.5279,0.9608,0.2218
cifar,0.9,val,densenet,200,a4,,,10000,10,,,,,,,,0.2991736825826391,0.4888,0.94792,0.1563
cifar,1.0,val,densenet,200,a4,,,10000,10,,,,,,,,0.2856795341059154,0.4693,,
cifar,0.05,train,resnet,200,a5,,,50000,10,,,,,,,,0.4080722618753949,0.6134,0.99416,0.8047
cifar,0.1,val,resnet,200,a4,,,10000,10,,,,,,,,0.4333383510725589,0.6581,0.99212,0.7727
cifar,0.2,trainUval,resnet,200,a3,,,60000,10,,,,,,,,0.5910077930131491,0.7883333333333333,0.98526,0.7109
cifar,0.3,train,resnet,200,a2,,,50000,10,,,,,,,,0.6144074366152957,0.81154,0.98254,0.6435
cifar,0.35,val,resnet,200,a1,,,10000,10,,,,,,,,0.5534369067516085,0.7232,0.9776,0.5994
cifar,0.45,train,resnet,200,a5,,,50000,10,,,,,,,,0.3859197899320583,0.58632,0.97488,0.5223
cifar,0.5,val,resnet,200,a4,,,10000,10,,,,,,,,0.3942095268104568,0.6173,0.97576,0.4941
cifar,0.7,trainUval,resnet,200,a3,,,60000,10,,,,,,,,0.4388847628714371,0.6415833333333333,0.95682,0.3214
