dataset,randomness,split,model,epoch,layer,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,centroid_mean_correlation,silhouette_score,neighborhood_purity,knn_accuracy,neighbourhood_purity_15,knn_accuracy_15,neighbourhood_purity_20,knn_accuracy_20,neighbourhood_purity_25,knn_accuracy_25,neighbourhood_purity_30,knn_accuracy_30,neighbourhood_purity_35,knn_accuracy_35,neighbourhood_purity_40,knn_accuracy_40,neighbourhood_purity_45,knn_accuracy_45,neighbourhood_purity_60,knn_accuracy_60,neighbourhood_purity_80,knn_accuracy_80,train_acc,val_acc
cifar,0.0,val,densenet,187,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\val\a1_e187.pt,5,10000,10,,,,,,,0.1732806004358125,,,,,,,,,,,,,,,,,,,,,0.97474,0.8487
cifar,0.0,val,densenet,28,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\val\a1_e28.pt,5,10000,10,,,,,,,0.0567023267008882,,,,,,,,,,,,,,,,,,,,,0.9328,0.8186
cifar,0.0,val,densenet,5,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\val\a1_e5.pt,5,10000,10,,,,,,,0.01506621632215,,,,,,,,,,,,,,,,,,,,,0.71228,0.6806
cifar,0.0,val,densenet,71,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\val\a1_e71.pt,5,10000,10,,,,,,,0.0701198097701668,,,,,,,,,,,,,,,,,,,,,0.91458,0.8064
cifar,0.0,val,densenet,93,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\val\a1_e93.pt,5,10000,10,,,,,,,0.1049994717602248,,,,,,,,,,,,,,,,,,,,,0.95706,0.837
cifar,0.0,trainUval,resnet,113,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\trainUval\a1_e113.pt,5,60000,10,,,,,,,0.2066049035517638,,,0.9238698532732754,0.9616666666666668,0.9225070893848724,0.9620833333333332,0.9212403979991995,0.9620833333333332,0.9203637564384152,0.9621333333333332,0.9194455302021644,0.9623666666666668,0.9186461323028074,0.96205,0.9179747389355466,0.9623333333333334,0.9160241658344952,0.9617666666666668,0.9140155228220506,0.9619,0.97938,0.8427
cifar,0.0,trainUval,resnet,135,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\trainUval\a1_e135.pt,5,60000,10,,,,,,,0.2810452847991075,,,0.9580107716103392,0.9765,0.9575600450963984,0.9764666666666668,0.9573373979293364,0.9765833333333334,0.9571040667921475,0.9765833333333334,0.9568703841485784,0.9767666666666668,0.9566327186538924,0.9768166666666668,0.956426876960774,0.9766333333333334,0.9560114337546846,0.9768166666666668,0.9553879989362476,0.9768166666666668,0.99892,0.8626
cifar,0.0,trainUval,resnet,157,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\trainUval\a1_e157.pt,5,60000,10,,,,,,,0.1560271103260402,,,0.8590227334520721,0.9234166666666668,0.8563915670556449,0.9233166666666668,0.8541234356521339,0.9236666666666666,0.8521904001564651,0.9231166666666668,0.8504060137667779,0.9227833333333332,0.8490956105321669,0.9232333333333334,0.847668143956618,0.9227666666666666,0.8443214210200907,0.9223,0.8407421495303748,0.9216666666666666,0.91848,0.8064
cifar,0.0,trainUval,resnet,179,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\trainUval\a1_e179.pt,5,60000,10,,,,,,,0.2120529411792549,,,0.8952067852651205,0.9438666666666666,0.8934449716566121,0.9437333333333332,0.8919301423807141,0.9439666666666666,0.8905449959944185,0.94355,0.889322385763629,0.94335,0.888239456766974,0.94295,0.8873737311682411,0.9426333333333332,0.8848850837208784,0.9424333333333332,0.8824599149563287,0.9425333333333332,0.949,0.8277
cifar,0.0,trainUval,resnet,20,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\trainUval\a1_e20.pt,5,60000,10,,,,,,,0.0369811502143281,,,0.7516295173807808,0.84715,0.7481803856780077,0.8476166666666667,0.7454390975853793,0.8478333333333333,0.7432091762139442,0.8474166666666667,0.7413512751167906,0.8479833333333333,0.7394326213369357,0.8478166666666667,0.7378468650840581,0.8477166666666667,0.7337284225625582,0.8470166666666666,0.7292193951361762,0.8461,0.85328,0.795
cifar,0.0,trainUval,resnet,41,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\trainUval\a1_e41.pt,5,60000,10,,,,,,,0.0544306228633198,,,0.7955581401633167,0.8819333333333333,0.7923471714939031,0.88355,0.7896497098590705,0.8837166666666667,0.7871522975994308,0.8829166666666667,0.7852422857796715,0.8830333333333333,0.783488857180095,0.8826666666666667,0.7817224663884682,0.8829,0.7776263454047047,0.8823666666666666,0.7732336470555893,0.882,0.889,0.8068
cifar,0.0,trainUval,resnet,63,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\trainUval\a1_e63.pt,5,60000,10,,,,,,,0.1482959779347538,,,0.9091644769174264,0.95805,0.906963686769483,0.95785,0.905318239138626,0.9582,0.9040045955937348,0.9588333333333332,0.9026841196459592,0.9586333333333332,0.901627843334914,0.9587,0.900710613937638,0.9588666666666666,0.89816257011813,0.9589666666666666,0.8952413401125823,0.9589333333333332,0.98448,0.8457
cifar,0.0,trainUval,resnet,85,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\trainUval\a1_e85.pt,5,60000,10,,,,,,,0.1118784232188644,,,0.8502592878480466,0.9208333333333332,0.847215927586287,0.92085,0.8446662073672082,0.9214166666666668,0.842637043801288,0.92145,0.840735244302445,0.9219166666666668,0.8390481685523778,0.9222,0.8375642323296228,0.9217833333333332,0.8336728234880223,0.9217333333333332,0.829652748508235,0.9205166666666666,0.9331,0.8219
cifar,0.0,train,resnet,105,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\train\a1_e105.pt,5,50000,10,,,,,,,0.18216542155748,,,,,,,,,,,,,,,,,,,,,0.9638,0.8364
cifar,0.0,train,resnet,127,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\train\a1_e127.pt,5,50000,10,,,,,,,0.2751976508160634,,,,,,,,,,,,,,,,,,,,,0.99686,0.8576
cifar,0.0,train,resnet,149,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\train\a1_e149.pt,5,50000,10,,,,,,,0.3143880001703094,,,,,,,,,,,,,,,,,,,,,0.99976,0.8636
cifar,0.0,train,resnet,170,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\train\a1_e170.pt,5,50000,10,,,,,,,0.2101683935731578,,,,,,,,,,,,,,,,,,,,,0.95514,0.8384
cifar,0.0,train,resnet,192,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\train\a1_e192.pt,5,50000,10,,,,,,,0.2472130986098541,,,,,,,,,,,,,,,,,,,,,0.96678,0.8361
cifar,0.0,train,resnet,33,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\train\a1_e33.pt,5,50000,10,,,,,,,0.0362235916686717,,,,,,,,,,,,,,,,,,,,,0.82208,0.7685
cifar,0.0,train,resnet,55,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\train\a1_e55.pt,5,50000,10,,,,,,,0.1080744819009198,,,,,,,,,,,,,,,,,,,,,0.95898,0.8337
cifar,0.0,train,resnet,77,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\train\a1_e77.pt,5,50000,10,,,,,,,0.0918744637956487,,,,,,,,,,,,,,,,,,,,,0.89282,0.797
cifar,0.0,train,resnet,99,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\train\a1_e99.pt,5,50000,10,,,,,,,0.1603619819216889,,,,,,,,,,,,,,,,,,,,,0.95556,0.8324
cifar,0.0,val,resnet,119,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\val\a1_e119.pt,5,10000,10,,,,,,,0.1590316483267306,,,,,,,,,,,,,,,,,,,,,0.98946,0.8458
cifar,0.0,val,resnet,140,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\val\a1_e140.pt,5,10000,10,,,,,,,0.1959886717129008,,,,,,,,,,,,,,,,,,,,,0.99954,0.8637
cifar,0.0,val,resnet,162,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\val\a1_e162.pt,5,10000,10,,,,,,,0.1428597151827103,,,,,,,,,,,,,,,,,,,,,0.93898,0.8233
cifar,0.0,val,resnet,184,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\val\a1_e184.pt,5,10000,10,,,,,,,0.1647682728064634,,,,,,,,,,,,,,,,,,,,,0.96388,0.8349
cifar,0.0,val,resnet,25,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\val\a1_e25.pt,5,10000,10,,,,,,,0.0394514511745052,,,,,,,,,,,,,,,,,,,,,0.90082,0.82
cifar,0.0,val,resnet,47,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\val\a1_e47.pt,5,10000,10,,,,,,,0.0636602736544125,,,,,,,,,,,,,,,,,,,,,0.92164,0.828
cifar,0.0,val,resnet,69,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\val\a1_e69.pt,5,10000,10,,,,,,,0.1101743446865831,,,,,,,,,,,,,,,,,,,,,0.98984,0.8448
cifar,0.0,val,resnet,90,a1,D:/CrossEpochLatents/resnet_cifar\Tensors\val\a1_e90.pt,5,10000,10,,,,,,,0.0967831599888329,,,,,,,,,,,,,,,,,,,,,0.93574,0.8279
cifar,0.0,trainUval,densenet,117,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e117.pt,5,60000,10,,,,,,,0.2156923385096089,,,0.9500222962754774,0.9739333333333332,0.9491864741443692,0.9740666666666666,0.9486230810975071,0.9743,0.9480982762489676,0.974,0.9476242272566412,0.97395,0.9471375876155752,0.9738666666666668,0.9467538353884334,0.97385,0.9458589724936776,0.9736333333333334,0.9447922559103272,0.9736333333333334,0.99452,0.8575
cifar,0.0,trainUval,densenet,139,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e139.pt,5,60000,10,,,,,,,0.2802370805235684,,,0.9649219282238932,0.97895,0.9647535505313216,0.9790166666666666,0.9645936934729852,0.9787833333333332,0.9644686941761482,0.9786666666666668,0.964362665248045,0.9787333333333332,0.9642604167916222,0.9788166666666668,0.964213621169166,0.9787666666666668,0.964041397284282,0.9789,0.963869519956561,0.9788,0.99984,0.8728
cifar,0.0,trainUval,densenet,160,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e160.pt,5,60000,10,,,,,,,0.1616105939166029,,,0.8823577737154583,0.94185,0.8795621122666438,0.9416,0.8774750410636847,0.9422166666666668,0.8755853552605807,0.94205,0.8738880574107825,0.9413166666666668,0.8723693127650767,0.94115,0.8710815238308203,0.9408333333333332,0.8676647460682307,0.9402833333333334,0.8641292530702749,0.9395666666666668,0.94022,0.8277
cifar,0.0,trainUval,densenet,182,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e182.pt,5,60000,10,,,,,,,0.2194388624923492,,,0.9199598294906376,0.9589,0.9181614255564736,0.9588666666666666,0.91684592604693,0.9585166666666668,0.915737931225748,0.9584333333333334,0.9146849746635184,0.9580833333333332,0.9138633907736882,0.9585333333333332,0.9130708301934064,0.95855,0.91099163132721,0.9576166666666668,0.909022105584629,0.9575333333333332,0.96946,0.8493
cifar,0.0,trainUval,densenet,23,a1,D:/CrossEpochLatents/densenet_cifar\Tensors\trainUval\a1_e23.pt,5,60000,10,,,,,,,0.0621577007547247,,,0.7691198268736132,0.8692666666666666,0.7651132480316039,0.8708333333333333,0.76185270172939,0.8716833333333334,0.7588202080817076,0.8720166666666667,0.756515421376442,0.8715666666666667,0.7543953211790899,0.8718166666666667,0.7524375334605242,0.8714166666666666,0.7476021152648344,0.8720166666666667,0.742187978480916,0.8715,0.89836,0.805
