dataset,randomness,split,model,epoch,layer,tensor_path,k_neighbors,num_points,num_classes,intra_class_mean_distance,inter_class_mean_distance,intra_inter_distance_ratio,centroid_mean_separation,centroid_min_separation,neighborhood_purity,knn_accuracy,neighbourhood_purity_20,knn_accuracy_20,train_acc,val_acc
mnist,0.0,train,resnet,200,a3,,,60000,10,,,,,,,,0.9592541643619754,0.9850333333333332,,
mnist,0.05,val,resnet,200,a2,,,10000,10,,,,,,,,0.9332425262192066,0.974,0.9999833333333333,0.9641
mnist,0.15,trainUval,resnet,200,a1,,,70000,10,,,,,,,,0.9491496321831892,0.9752285714285714,1.0,0.9112
mnist,0.2,val,resnet,200,a5,,,10000,10,,,,,,,,0.8914619205362917,0.9636,1.0,0.8754
mnist,0.3,trainUval,resnet,200,a4,,,70000,10,,,,,,,,0.9447677064576564,0.9798428571428572,0.9999,0.8042
mnist,0.4,train,resnet,200,a3,,,60000,10,,,,,,,,0.9411419789661634,0.97865,0.9999,0.7172
mnist,0.45,val,resnet,200,a2,,,10000,10,,,,,,,,0.8822465756834905,0.9561,0.9998666666666667,0.6743
mnist,0.6,trainUval,resnet,200,a1,,,70000,10,,,,,,,,0.737237335072247,0.8742428571428571,0.9995833333333334,0.502
mnist,0.7,val,resnet,200,a5,,,10000,10,,,,,,,,0.8809406015848026,0.9602,0.9993333333333333,0.4144
mnist,0.9,trainUval,resnet,200,a4,,,70000,10,,,,,,,,0.9346320044085948,0.9778285714285714,0.9998,0.1979
mnist,0.0,train,densenet,200,a4,,,60000,10,,,,,,,,0.9625758960152472,0.9861666666666666,,
mnist,0.05,train,densenet,200,a4,,,60000,10,,,,,,,,0.951721071362434,0.98175,0.9984,0.9571
mnist,0.1,train,densenet,200,a4,,,60000,10,,,,,,,,0.9464091584725328,0.97955,0.9991,0.9301
mnist,0.15,train,densenet,200,a4,,,60000,10,,,,,,,,0.940889863713132,0.9776333333333334,0.9991666666666666,0.9029
mnist,0.2,train,densenet,200,a4,,,60000,10,,,,,,,,0.9372557355351402,0.9764833333333334,0.9991333333333333,0.8578
mnist,0.25,train,densenet,200,a4,,,60000,10,,,,,,,,0.931562076428494,0.9743,0.9981,0.8267
mnist,0.3,train,densenet,200,a4,,,60000,10,,,,,,,,0.9259049849695096,0.9729833333333332,0.9965,0.7857
mnist,0.35,train,densenet,200,a4,,,60000,10,,,,,,,,0.922632307730792,0.9728666666666668,0.9922666666666666,0.735
mnist,0.4,train,densenet,200,a4,,,60000,10,,,,,,,,0.9178302237001376,0.9703333333333334,0.9890333333333333,0.7028
mnist,0.45,train,densenet,200,a4,,,60000,10,,,,,,,,0.9139569933745468,0.9698166666666668,0.98165,0.6491
mnist,0.5,train,densenet,200,a4,,,60000,10,,,,,,,,0.9081153498972716,0.9682666666666668,0.9771333333333333,0.5933
mnist,0.6,train,densenet,200,a4,,,60000,10,,,,,,,,0.8969712194766726,0.9654333333333334,0.9523333333333334,0.5088
mnist,0.7,train,densenet,200,a4,,,60000,10,,,,,,,,0.8800387942754287,0.96175,0.9321833333333334,0.4065
mnist,0.8,train,densenet,200,a4,,,60000,10,,,,,,,,0.8628021727338632,0.9558833333333332,0.89575,0.3115
mnist,0.9,train,densenet,200,a4,,,60000,10,,,,,,,,0.8502556670034866,0.9532833333333334,0.8673833333333333,0.2009
mnist,1.0,train,densenet,200,a4,,,60000,10,,,,,,,,0.8440320373266551,0.9513666666666668,,
mnist,0.0,train,resnet,200,a4,,,60000,10,,,,,,,,0.952509880225564,0.9832166666666666,,
mnist,0.05,val,resnet,200,a3,,,10000,10,,,,,,,,0.9256061037200932,0.9742,0.9999833333333333,0.9641
mnist,0.15,trainUval,resnet,200,a2,,,70000,10,,,,,,,,0.951554209723172,0.9811285714285716,1.0,0.9112
mnist,0.25,train,resnet,200,a1,,,60000,10,,,,,,,,0.9133404427416384,0.9574,0.9999666666666667,0.8423
mnist,0.3,trainUval,resnet,200,a5,,,70000,10,,,,,,,,0.9366460980664096,0.9781142857142856,0.9999,0.8042
mnist,0.4,train,resnet,200,a4,,,60000,10,,,,,,,,0.9414984573385252,0.97925,0.9999,0.7172
mnist,0.45,val,resnet,200,a3,,,10000,10,,,,,,,,0.8968669252665593,0.9633,0.9998666666666667,0.6743
mnist,0.6,trainUval,resnet,200,a2,,,70000,10,,,,,,,,0.9159927243939864,0.9687428571428572,0.9995833333333334,0.502
mnist,0.8,train,resnet,200,a1,,,60000,10,,,,,,,,0.5800617418424593,0.7887666666666666,0.9994666666666666,0.3153
mnist,0.9,trainUval,resnet,200,a5,,,70000,10,,,,,,,,0.9300560884080024,0.9759142857142856,0.9998,0.1979
mnist,0.0,train,densenet,200,a5,,,60000,10,,,,,,,,0.95599883057445,0.9842333333333332,,
mnist,0.05,train,densenet,200,a5,,,60000,10,,,,,,,,0.9480048367240664,0.9814,0.9984,0.9571
mnist,0.1,train,densenet,200,a5,,,60000,10,,,,,,,,0.944324792284358,0.97975,0.9991,0.9301
mnist,0.15,train,densenet,200,a5,,,60000,10,,,,,,,,0.9398716223704788,0.9782,0.9991666666666666,0.9029
