dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,missing_colless,total_cophenetic_index,sackin_index,average_colless_index,average_missing_colless,average_total_cophenetic_index,average_sackin_index,train_acc,val_acc
cifar,train,resnet,20,30,a5,1e-07,1e-07,1418,2.089970501474926,,57,62699649.0,251884.0,,0.04019746121297602,44216.95980253879,177.63328631875882,0.97678,0.7454
cifar,trainUval,resnet,20,30,a1,1e-07,1e-07,120,2.016949152542373,664.0,3,6211.0,626.0,5.533333333333333,0.025,51.75833333333333,5.216666666666667,0.97678,0.7454
cifar,trainUval,resnet,20,30,a2,1e-07,1e-07,830,2.067331670822943,,27,8855655.0,55727.0,,0.03253012048192771,10669.463855421687,67.14096385542169,0.97678,0.7454
cifar,trainUval,resnet,20,30,a3,1e-07,1e-07,2442,2.203068592057762,,158,335139448.0,739166.0,,0.0647010647010647,137239.7411957412,302.6887796887797,0.97678,0.7454
cifar,trainUval,resnet,20,30,a4,1e-07,1e-07,2332,2.174440298507463,,142,290661664.0,680745.0,,0.060891938250428816,124640.5077186964,291.9146655231561,0.97678,0.7454
cifar,trainUval,resnet,20,30,a5,1e-07,1e-07,1604,2.073738680465718,,55,91092682.0,325731.0,,0.03428927680798005,56790.94887780549,203.07418952618454,0.97678,0.7454
cifar,val,resnet,20,30,a1,1e-07,1e-07,36,1.9444444444444444,170.0,1,693.0,147.0,4.722222222222222,0.027777777777777776,19.25,4.083333333333333,0.97678,0.7454
cifar,val,resnet,20,30,a2,1e-07,1e-07,185,2.0444444444444443,,5,102567.0,3039.0,,0.02702702702702703,554.4162162162162,16.427027027027027,0.97678,0.7454
cifar,val,resnet,20,30,a3,1e-07,1e-07,468,2.1227272727272726,,24,2182407.0,26013.0,,0.05128205128205128,4663.26282051282,55.583333333333336,0.97678,0.7454
cifar,val,resnet,20,30,a4,1e-07,1e-07,423,2.2094240837696337,,36,1701459.0,21941.0,,0.0851063829787234,4022.3617021276596,51.86997635933806,0.97678,0.7454
cifar,val,resnet,20,30,a5,1e-07,1e-07,303,2.1267605633802815,,19,654898.0,12130.0,,0.0627062706270627,2161.3795379537955,40.03300330033003,0.97678,0.7454
mnist,train,resnet,20,11,a1,1e-07,1e-07,156,2.012987012987013,1383.0,3,16355.0,1059.0,8.865384615384615,0.019230769230769232,104.83974358974359,6.788461538461538,0.9925,0.9872
mnist,train,resnet,20,11,a2,1e-07,1e-07,253,2.032258064516129,,6,24604.0,1691.0,,0.023715415019762844,97.24901185770752,6.683794466403162,0.9925,0.9872
mnist,train,resnet,20,11,a3,1e-07,1e-07,413,2.0497512437810945,,11,106755.0,4026.0,,0.026634382566585957,258.4866828087167,9.74818401937046,0.9925,0.9872
mnist,train,resnet,20,11,a4,1e-07,1e-07,613,2.0264900662251657,,10,813104.0,11306.0,,0.01631321370309951,1326.4339314845024,18.443719412724306,0.9925,0.9872
mnist,train,resnet,20,11,a5,1e-07,1e-07,739,2.0330578512396693,,14,2566808.0,24882.0,,0.018944519621109608,3473.3531799729362,33.66982408660352,0.9925,0.9872
