dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,average_branching_factor,colless_index,missing_colless,total_cophenetic_index,sackin_index,train_acc,val_acc
cifar,val,resnet,20,12,a1,1.4305096556199715e-06,valley=2classes,39,2.0,158.0,2,813.0,156.0,0.93352,0.7355
cifar,val,resnet,20,15,a1,1.1920928244535389e-07,valley=2classes,40,1.95,132.0,1,651.0,142.0,0.9403,0.7192
cifar,val,resnet,20,18,a1,2.1457594812090974e-06,valley=2classes,39,2.0,175.0,2,902.0,164.0,0.95238,0.7201
cifar,val,resnet,20,21,a1,2.02654950953729e-06,valley=2classes,40,1.95,198.0,1,903.0,171.0,0.96878,0.7343
cifar,val,resnet,20,24,a1,0.0,valley=2classes,77,2.0,402.0,2,3538.0,373.0,0.96746,0.7267
cifar,val,resnet,20,27,a1,0.0,valley=2classes,69,2.0,264.0,2,2233.0,294.0,0.9736,0.7302
cifar,val,resnet,20,30,a1,0.0,valley=2classes,68,1.9705882352941178,410.0,1,3200.0,347.0,0.97678,0.7454
cifar,val,resnet,20,33,a1,0.0,valley=2classes,60,2.0344827586206895,181.0,3,1330.0,229.0,0.98052,0.7376
cifar,val,resnet,20,36,a1,1.1920906217710581e-07,valley=2classes,40,1.95,140.0,1,759.0,150.0,0.97656,0.737
cifar,val,resnet,20,39,a1,9.536738616588991e-07,valley=2classes,40,1.95,166.0,1,797.0,159.0,0.97666,0.7365
cifar,val,resnet,20,3,a1,0.007136017084121704,valley=2classes,40,1.95,232.0,1,1027.0,186.0,0.64486,0.6114
cifar,val,resnet,20,42,a1,0.0,valley=2classes,63,2.066666666666667,194.0,3,1722.0,243.0,0.9776,0.7333
cifar,val,resnet,20,45,a1,4.7683170123491436e-07,valley=2classes,39,2.0,148.0,2,674.0,152.0,0.98306,0.742
cifar,val,resnet,20,48,a1,0.0,valley=2classes,60,1.9666666666666666,286.0,1,2008.0,265.0,0.97982,0.7308
cifar,val,resnet,20,6,a1,0.0013248289469629526,valley=2classes,40,1.95,164.0,1,744.0,154.0,0.78514,0.692
cifar,val,resnet,20,9,a1,1.7881370695249643e-06,valley=2classes,39,2.0,156.0,2,748.0,156.0,0.88314,0.7137
mnist,train,resnet,20,0,a1,0.0741262435913086,valley=2classes,40,1.95,342.0,1,1330.0,229.0,0.09793333333333333,0.0974
mnist,train,resnet,20,10,a1,1.549718035676051e-06,valley=2classes,40,1.95,66.0,1,387.0,119.0,0.9925,0.9873
mnist,train,resnet,20,11,a1,1.5497043932555243e-06,valley=2classes,38,1.9473684210526316,106.0,1,442.0,126.0,0.9925,0.9872
mnist,train,resnet,20,12,a1,1.0251904313918203e-05,valley=2classes,40,1.95,110.0,1,499.0,133.0,0.9879833333333333,0.9823
mnist,train,resnet,20,13,a1,5.006712854083162e-06,valley=2classes,40,1.95,142.0,1,730.0,149.0,0.98465,0.9806
mnist,train,resnet,20,14,a1,2.0265517832740443e-06,valley=2classes,40,1.95,106.0,1,611.0,137.0,0.97775,0.9726
mnist,train,resnet,20,15,a1,1.6689263020452927e-06,valley=2classes,40,1.95,112.0,1,570.0,136.0,0.9932333333333333,0.9874
mnist,train,resnet,20,1,a1,0.00010316784027963877,valley=2classes,39,2.0,180.0,2,880.0,166.0,0.96455,0.9668
mnist,train,resnet,20,2,a1,0.00022794189862906933,valley=2classes,40,1.95,120.0,1,688.0,146.0,0.9676666666666667,0.9692
mnist,train,resnet,20,3,a1,3.8146426959428936e-06,valley=2classes,40,1.95,140.0,1,698.0,148.0,0.98405,0.9826
mnist,train,resnet,20,4,a1,3.6954688766854815e-06,valley=2classes,40,1.95,92.0,1,534.0,130.0,0.9848333333333333,0.9844
mnist,train,resnet,20,5,a1,6.198821665748255e-06,valley=2classes,40,1.95,96.0,1,537.0,134.0,0.9867166666666667,0.9828
mnist,train,resnet,20,6,a1,4.649027687264606e-06,valley=2classes,40,1.95,240.0,1,1008.0,188.0,0.9903333333333333,0.9862
mnist,train,resnet,20,7,a1,1.6689227777533233e-06,valley=2classes,40,1.95,124.0,1,643.0,142.0,0.9912333333333333,0.9857
mnist,train,resnet,20,8,a1,3.0993933251011185e-06,valley=2classes,39,2.0,112.0,2,563.0,135.0,0.99085,0.9876
mnist,train,resnet,20,9,a1,5.602702003670856e-06,valley=2classes,40,1.95,74.0,1,420.0,121.0,0.99015,0.984
mnist,trainUval,resnet,20,0,a1,0.0822591781616211,valley=2classes,40,1.95,342.0,1,1330.0,229.0,0.09793333333333333,0.0974
mnist,trainUval,resnet,20,10,a1,2.145761754945852e-06,valley=2classes,40,1.95,84.0,1,438.0,126.0,0.9925,0.9873
mnist,trainUval,resnet,20,11,a1,2.026534275501035e-06,valley=2classes,40,1.95,102.0,1,495.0,131.0,0.9925,0.9872
mnist,trainUval,resnet,20,12,a1,1.740305742714554e-05,valley=2classes,40,1.95,102.0,1,490.0,131.0,0.9879833333333333,0.9823
mnist,trainUval,resnet,20,13,a1,5.602722012554295e-06,valley=2classes,40,1.95,116.0,1,587.0,138.0,0.98465,0.9806
mnist,trainUval,resnet,20,14,a1,2.503307769075036e-06,valley=2classes,40,1.95,130.0,1,689.0,145.0,0.97775,0.9726
mnist,trainUval,resnet,20,15,a1,1.9073277144343592e-06,valley=2classes,40,1.95,66.0,1,384.0,119.0,0.9932333333333333,0.9874
mnist,trainUval,resnet,20,1,a1,0.00010316784027963877,valley=2classes,40,1.95,150.0,1,711.0,153.0,0.96455,0.9668
mnist,trainUval,resnet,20,2,a1,0.000162867596372962,valley=2classes,40,1.95,128.0,1,678.0,146.0,0.9676666666666667,0.9692
mnist,trainUval,resnet,20,3,a1,4.410625479067676e-06,valley=2classes,40,1.95,138.0,1,660.0,145.0,0.98405,0.9826
mnist,trainUval,resnet,20,4,a1,2.1457180992001668e-06,valley=2classes,40,1.95,134.0,1,648.0,143.0,0.9848333333333333,0.9844
mnist,trainUval,resnet,20,5,a1,5.4835750233905856e-06,valley=2classes,40,1.95,110.0,1,592.0,135.0,0.9867166666666667,0.9828
mnist,trainUval,resnet,20,6,a1,4.649099537346046e-06,valley=2classes,40,1.95,190.0,1,808.0,165.0,0.9903333333333333,0.9862
mnist,trainUval,resnet,20,7,a1,1.788134341040859e-06,valley=2classes,40,1.95,112.0,1,639.0,138.0,0.9912333333333333,0.9857
mnist,trainUval,resnet,20,8,a1,3.0993933251011185e-06,valley=2classes,40,1.95,120.0,1,544.0,138.0,0.99085,0.9876
mnist,trainUval,resnet,20,9,a1,5.1255119615234435e-06,valley=2classes,40,1.95,132.0,1,639.0,142.0,0.99015,0.984
mnist,val,resnet,20,0,a1,0.0570143461227417,valley=2classes,40,1.95,342.0,1,1330.0,229.0,0.09793333333333333,0.0974
mnist,val,resnet,20,10,a1,8.34455931908451e-07,valley=2classes,40,1.95,102.0,1,471.0,129.0,0.9925,0.9873
mnist,val,resnet,20,11,a1,8.344613888766617e-07,valley=2classes,40,1.95,138.0,1,719.0,147.0,0.9925,0.9872
mnist,val,resnet,20,12,a1,1.1920897122763563e-06,valley=2classes,39,2.0,92.0,2,516.0,126.0,0.9879833333333333,0.9823
mnist,val,resnet,20,13,a1,2.622502506710589e-06,valley=2classes,40,1.95,124.0,1,537.0,138.0,0.98465,0.9806
mnist,val,resnet,20,14,a1,1.5496825653826818e-06,valley=2classes,39,2.0,104.0,2,569.0,133.0,0.97775,0.9726
mnist,val,resnet,20,15,a1,4.768367034557741e-07,valley=2classes,39,2.0,137.0,2,732.0,148.0,0.9932333333333333,0.9874
mnist,val,resnet,20,1,a1,5.006331775803119e-06,valley=2classes,40,1.95,118.0,1,578.0,137.0,0.96455,0.9668
mnist,val,resnet,20,2,a1,1.192086983792251e-06,valley=2classes,40,1.95,130.0,1,668.0,145.0,0.9676666666666667,0.9692
mnist,val,resnet,20,3,a1,4.7683636239526095e-07,valley=2classes,40,1.95,74.0,1,466.0,121.0,0.98405,0.9826
mnist,val,resnet,20,4,a1,1.3112958185956813e-06,valley=2classes,40,1.95,136.0,1,650.0,144.0,0.9848333333333333,0.9844
mnist,val,resnet,20,5,a1,2.145752659998834e-06,valley=2classes,39,2.0,77.0,2,437.0,123.0,0.9867166666666667,0.9828
mnist,val,resnet,20,6,a1,1.1920883480343036e-07,valley=2classes,40,1.95,88.0,1,473.0,126.0,0.9903333333333333,0.9862
mnist,val,resnet,20,7,a1,1.1920923270736239e-07,valley=2classes,39,2.0,87.0,2,549.0,130.0,0.9912333333333333,0.9857
mnist,val,resnet,20,8,a1,7.152541456889594e-07,valley=2classes,39,2.0,98.0,2,501.0,129.0,0.99085,0.9876
mnist,val,resnet,20,9,a1,9.536729521641973e-07,valley=2classes,40,1.95,78.0,1,437.0,121.0,0.99015,0.984
cifar,train,vgg,20,0,a1,0.009264469146728516,valley=2classes,39,2.0,275.0,2,1177.0,211.0,0.0898,0.088
cifar,train,vgg,20,12,a1,0.0,valley=2classes,242,2.042372881355932,,7,41876.0,2034.0,0.95462,0.7898
cifar,train,vgg,20,15,a1,0.0,valley=2classes,490,2.0808510638297872,,20,130087.0,4875.0,0.97316,0.7943
cifar,train,vgg,20,18,a1,0.0,valley=2classes,608,2.0716723549488054,,23,335429.0,7791.0,0.981,0.7998
cifar,train,vgg,20,21,a1,0.0,valley=2classes,798,2.0755208333333335,,30,491894.0,9826.0,0.98854,0.8085
cifar,train,vgg,20,24,a1,0.0,valley=2classes,891,2.099056603773585,,42,594756.0,11580.0,0.99238,0.8068
cifar,train,vgg,20,27,a1,0.0,valley=2classes,1051,2.095808383233533,,48,671490.0,13136.0,0.99514,0.8122
