dataset,split,model,k,epoch,layer,thresh,thresh_mode,node_count,missing_coless,average_branching_factor,colless_index,missing_colless,total_cophenetic_index,sackin_index,train_acc,val_acc
mnist,val,densenet,20,3,a1,3.933301195502281e-05,valley=classes,20,1,1.9,44.0,1,120.0,54.0,0.9830666666666666,0.98
mnist,val,densenet,20,4,a1,0.0007268835906870663,valley=classes,20,1,1.9,54.0,1,130.0,57.0,0.9876166666666667,0.9865
mnist,val,densenet,20,5,a1,0.00012860492279287428,valley=classes,20,1,1.9,66.0,1,163.0,63.0,0.9910166666666667,0.9883
mnist,val,densenet,20,6,a1,0.0007919713389128447,valley=classes,20,1,1.9,58.0,1,145.0,59.0,0.9916333333333334,0.9882
mnist,val,densenet,20,7,a1,0.0004842272319365293,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.9882,0.9853
mnist,val,densenet,20,8,a1,8.767197141423821e-05,valley=classes,20,1,1.9,48.0,1,136.0,56.0,0.9929166666666667,0.9887
mnist,val,densenet,20,9,a1,1.418420288246125e-05,valley=classes,20,1,1.9,16.0,1,80.0,46.0,0.9940833333333333,0.9891
cifar,train,resnet,20,0,a1,1.0500648021697998,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.1,0.1
cifar,train,resnet,20,12,a1,0.016030944883823395,valley=classes,20,1,1.9,64.0,1,160.0,62.0,0.93352,0.7355
cifar,train,resnet,20,15,a1,0.004871080629527569,valley=classes,20,1,1.9,60.0,1,151.0,60.0,0.9403,0.7192
cifar,train,resnet,20,18,a1,0.00032756576547399163,valley=classes,20,1,1.9,52.0,1,144.0,58.0,0.95238,0.7201
cifar,train,resnet,20,21,a1,3.421169822104275e-05,valley=classes,20,1,1.9,58.0,1,145.0,59.0,0.96878,0.7343
cifar,train,resnet,20,24,a1,0.00021257184562273324,valley=classes,20,1,1.9,36.0,1,117.0,52.0,0.96746,0.7267
cifar,train,resnet,20,27,a1,3.9575093978783116e-05,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.9736,0.7302
cifar,train,resnet,20,30,a1,0.0003739756066352129,valley=classes,20,1,1.9,42.0,1,129.0,55.0,0.97678,0.7454
cifar,train,resnet,20,33,a1,9.97433380689472e-05,valley=classes,20,1,1.9,28.0,1,106.0,50.0,0.98052,0.7376
cifar,train,resnet,20,36,a1,0.0001748900394886732,valley=classes,20,1,1.9,58.0,1,145.0,59.0,0.97656,0.737
cifar,train,resnet,20,39,a1,5.947925092186779e-05,valley=classes,20,1,1.9,54.0,1,130.0,57.0,0.97666,0.7365
cifar,train,resnet,20,3,a1,0.20651865005493164,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.64486,0.6114
cifar,train,resnet,20,42,a1,7.365865167230368e-05,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.9776,0.7333
cifar,train,resnet,20,45,a1,2.2768192138755694e-05,valley=classes,20,1,1.9,52.0,1,146.0,58.0,0.98306,0.742
cifar,train,resnet,20,48,a1,1.8474223907105625e-05,valley=classes,20,1,1.9,34.0,1,108.0,51.0,0.97982,0.7308
cifar,train,resnet,20,6,a1,0.13767825067043304,valley=classes,20,1,1.9,58.0,1,145.0,59.0,0.78514,0.692
cifar,train,resnet,20,9,a1,0.05498068034648895,valley=classes,20,1,1.9,60.0,1,151.0,60.0,0.88314,0.7137
cifar,trainUval,resnet,20,0,a1,1.0286449193954468,valley=classes,20,1,1.9,72.0,1,165.0,64.0,0.1,0.1
cifar,trainUval,resnet,20,12,a1,0.016030944883823395,valley=classes,20,1,1.9,56.0,1,153.0,60.0,0.93352,0.7355
cifar,trainUval,resnet,20,15,a1,0.004400847479701042,valley=classes,20,1,1.9,62.0,1,156.0,61.0,0.9403,0.7192
cifar,trainUval,resnet,20,18,a1,0.00032756576547399163,valley=classes,20,1,1.9,52.0,1,146.0,58.0,0.95238,0.7201
cifar,trainUval,resnet,20,21,a1,3.421169822104275e-05,valley=classes,20,1,1.9,58.0,1,145.0,59.0,0.96878,0.7343
cifar,trainUval,resnet,20,24,a1,6.351416232064366e-05,valley=classes,20,1,1.9,44.0,1,120.0,54.0,0.96746,0.7267
cifar,trainUval,resnet,20,27,a1,3.9575093978783116e-05,valley=classes,20,1,1.9,52.0,1,144.0,58.0,0.9736,0.7302
